1 Product Name,2 Product Image,3 Short Description,4 Product Description,5 Brand Name,6 Brand Description
Diesel Thai,https://ddd33q3967xhi.cloudfront.net/z8Qh7CI6qgWx7YC_ZfCdZJwCe4s=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fbNpUpNv9vlAM3K431lue6pwjgG8%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fLDLDS4mqSHeyuM0uM0TG_p1aturfc1cu5p1c5djsr13mklic1a.jpg,"Sweet smelling like sour candy, specifically like the cherry flavored sour powder in a FunDip candy pouch, our Diesel Thai has a thoughtful energetic high","Diesel Thai is a Sativa dominant hybrid. Though the exact ratio is unknown, her growth structure, flowering time, potency results, and analysis of the felt effect have led us to label her as 70% Sativa. Sweet smelling like sour candy, specifically like the cherry flavored sour powder in a FunDip candy pouch, our Diesel Thai has a thoughtful energetic sativa high. Lacking the anxious buzz of many sativas, the uplifting high of this hybrid includes a balancing mellowness. We were gifted a cutting of the Diesel Thai by a friendly old hippie living in the most remote reaches of the Olympic Peninsula, very near the Hoh Rainforest.",Falcanna,"Welcome to the Falcanna website and thank you for your interest in our products. At Falcanna we pride ourselves not only in our quality cannabis products, but also in our transparency in how we represent ourselves to customers. We believe that our clients have a right to know who they are conducting business with and we are proud to tell our story."
Dutch Treat,https://ddd33q3967xhi.cloudfront.net/4qIeE9FRU7Q3M3SwdeLLLgEc3DY=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fmyF2W0cuWop8bIJG3SiwFHgF_Fo%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fcdn.filepicker.io%252fapi%252ffile%252fAd4lRXTRQSmkzKNXwDnm,Dutch Treat is great for relaxation or stress reduction. This bud can also leave the user feeling uplifted and euphoric.,"Although little is known of its genetic history of Dutch Treat. It is believed to have originated in British Columbia, but has become a favorite in Holland. Dutch Treat has an earthy,piney eucalyptus smell and flavor. Dutch Treat is know for a strong cerebral high followed by a very relaxing body high. Because of this, Dutch Treat is great for relaxation or stress reduction. This bud can also leave the user feeling uplifted and euphoric.",Cannasol Farms,"Nature intended for plants to be grown in the sun, and at Cannasol Farms, it is our dedication to growing the finest cannabis for over 20 years that led us to recognize that sun grown plants produce a better product. With dozens of unique strains, we have spent years perfecting the art and science of sustainable cannabis.

Because we believe cannabis only reaches its full potential in a natural environment, we grow our plants under the powerful Okanogan sunshine. Our complex sativa dominant strains take longer to mature, and their colas (the flower of the plant) need natural full spectrum sunlight to develop mature trichomes, which leads to more potent and rich cannabinoid profiles. You can see, smell, and taste the difference.

Because quality takes time, we don’t rush the plant. Many growers get eager to package their product, leaving it too green and raw. In order to achieve a more complex and refined terpene profile, you need time to slow cure as you would a fine tobacco or coffee. Cannasol Farms proudly slow cures our flowers for taste and experience rarely achieved in cannabis today. We select the best colas of the harvest to be hanged dry and slow cured in cool, low oxygen conditions. This allows the chlorophyl to degrade which smooths the smoke and allows the terpenes to be fully expressed, enhancing the cannabinoid profile. Cannasol Farms proudly long cures our flowers for taste and experience rarely achieved in cannabis today.

Cannasol cannabis is pure and natural, free from harsh pesticides and artificial chemicals. Only baking soda, potassium bicarbonate, and vinegar is used to prevent mildew and mold and regulate PH."
Dutch Treat,https://ddd33q3967xhi.cloudfront.net/5iCfyto1vIo-E8K-qBUGfpeiHVo=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2foXDJV9UlAEsAUPZNL7fFovBd-AM%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fd5fHMMiORd2ivAbrA5Fw_dutch%2btreat.jpg,An intense and cerebral indica-dominant strain.,"(80/20 IDH) Mixed notes of sweet citrus and pine with a candy-sweet taste. The high is intense and cerebral soon after smoking (much like that of a sativa), followed by a heavy sedative stoneyness.",Royal Tree Gardens,"It all started in the Summer of 2013 with an idea and a dream. 

With the passing of Initiative 502 in the fall of 2013 came the realization that opportunity was at hand. Having had experience growing for the medical side of the industry and a true passion for the plant, Max, Ryan and Spencer came together and founded what is now Royal Tree Gardens.

In March 2014, without the certainty of being licensed by the state, we apprehensively signed a lease on a warehouse in Tacoma, WA, where together, over the next 7 months, we designed and built-out the warehouse from the ground up. Through countless hours of hard work and dedication, we were able to complete the majority of the build-out ourselves while concurrently developing a brand-centric business plan with a focus and commitment to quality. Starting with a blank canvas allowed us to combine our knowledge of the cannabis growing environment and design a truly top tier facility for our plants.

In December 2014, after countless obstacles and setbacks, and applicable permits in hand, we finally received our license from the Washington State Liquor Control Board and were given the go ahead to begin producing cannabis.

More recently, after months of unconditional labor, we have welcomed on Judd as a part of the ownership. Charlie, a Master Grower and brother of Co-Founder Max, has also been added as a part of the ownership team and brings invaluable experience and work ethic.

Presently, the team here at Royal Tree Gardens is working extremely hard to produce the highest quality cannabis for the recreational market here in Washington. We feel privileged to be working with so many close friends and are excited share with you our passion for the plant!"
Ewok,https://ddd33q3967xhi.cloudfront.net/iXf1sMm5Wgwfi6UtaWZadnM9Caw=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fi-WXj5gnMB5Rr2dTD_TDQf2HZrY%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252faZUaO7ygSea9SMdRvd0A_SSC_LOGO_medRedsquare.jpg,Endor's Tranquility,"Ewok, a cross between Albert Walker and Tahoe Alien, was the Hybrid winner of the 2013 Seattle High Times Cannabis Cup. Bred by Alien Genetics, Ewok is a fast-growing plant with a short vegetative cycle, but produces large yields of frost-covered buds as hairy as the Star Wars Ewoks themselves. Pungent fruity notes of tangerine and lemon introduce Ewok’s strong cerebrally-focused effects that promote relaxation and stress relief. The full-body sedation to follow makes this strain a viable option for treatment of pain and insomnia as well.",Soulshine Cannabis,"Soulshine Cannabis is an indoor grow based out of Renton, WA. We set out to be a socially conscious cannabis company from the very beginning.  After figuring out our logo, box design, and what our brand meant to us,  it was important to focus on the packaging. It needed to be compostable, recyclable, and non-wasteful, while being unique, efficient, and something we would be proud to see in our retail partners stores."
Freedom,https://ddd33q3967xhi.cloudfront.net/XL7452KZci4awuXuhoY0-Vdj76g=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2f3PTM67-wngDYI-UXXVWkQhesxRo%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fneXWZN1hQBWheSrvPiUQ_freedom.jpg,DENSE ● GRAPEFRUIT ● VANILLA ● RELIEF (High CBD),"(High CBD)

Structure: Forest green flowers with medium to heavy density. Rust colored pistils are short and hug the buds covered in a golden frost. 

Aroma: Red grapefruit upfront with notes of apple cider and overtones of sweet caramel. Hints of jackfruit. 

Taste: Light and herbal on the inhale with great lung expansion. Very sweet and creamy, almost vanilla on the exhale with hints of ripe honeydew. 

Effect: Immediate, subtle jolt of cerebral energy followed by soothing body effect which come from this strains high CBD properties. Great for pain relief and daytime use  as it keeps the mind active.",7 Points Oregon,"7 Points Oregon is a clean green certified, indoor cultivation facility for recreational cannabis based in Portland, OR. Our intention is to elevate the potential of our plants with emphasis on sustainability. There are 3 major things we feel go into growing great cannabis: Providing the best possible environment, utilizing quality organic inputs and love.

7 Points Oregon prides itself on striving to grow some of the cleanest and most flavorful cannabis possible. This process has led us to a style of growing called Veganics. This is a organic method of cultivation using only plant based nutrients and compost teas. This provides nutrition to the plant very quickly, leaving behind little residue. In our experience, this style of growing allows us to maintain our focus on organic process while also developing a wonderful terpene profile and creating an amazingly clean smelling and tasting product. Enjoy!"
Frosta Mon,https://ddd33q3967xhi.cloudfront.net/8tFUpxlcMWVFE4vEAssTo2v0Zq4=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fX23F6-jOUJvB7tU-85bFv2OYcw8%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252f5x3m5a31TzaeFNhqlBmz_FROSTA%2bMON.jpg,"Frosta Mon, grown by Flying High Farms is a phenotype of the farm’s own Blue Cheese seed strain.","This high THC sativa-leaning flower has an incredibly strong fruity aroma and taste. It’s a high that’s a class of it’s own, and might possibly surprise those who dare to take it on.",Flow Kana,"Flow Kana is a different kind of cannabis business. We want to change the way our patients think about cannabis and the world as a whole.

Our values are simple. Respect the land and the medicine that it produces. No contaminants, no fancy packaging, no overpriced storefront. We bring the best of the farm to our patients' doors."
G-13 Haze,https://ddd33q3967xhi.cloudfront.net/8YASNkPpkDyAEp3JYdT1zyDVfBo=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fQUCLvOyeIHO__ym2tpaiVeCcy4A%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252f19oZdqnSSD78Fznvs6Tj_g13.jpg,,,Red Frog Cannabis,Tier 3 Producer/Processor
Galactic Glue 2,https://ddd33q3967xhi.cloudfront.net/Tl5uCeg5ffrqbQAN72T30vK8VeM=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2ffJK1G8e9_tiR8xNbMwQ_Jeksm_k%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fcuBaDkIrSpTTZUhalLOa_Screen%2bShot%2b2017-11-07%2bat%2b9.55.28%2bPM.png,GG4 (f.k.a. Gorilla Glue #4) X Gobbstopper,"Breeder: Alphakronik
Balanced Hybrid
Genetic: GG4 (f.k.a. Gorilla Glue #4) X Gobbstopper
Flavor: hint of grape, sweet,
High: relaxed, happy, euphoric",Clandestine Gardens,"Clandestine Gardens formed with the intent to produce and process the finest cannabis in Washington State. The team optimizes extreme care in handling the product from start to finish. They practice with an old school vibe, and with knowledge of harvesting the finest of crops."
Gelato #41 ,https://ddd33q3967xhi.cloudfront.net/1KS_4Z1eUnyma0l1-OypwbHS-1s=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fy_NnPDYLrveVQqfjZWo2Z1pTiA8%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fXeDONUt3REaHYU5cNhtT_gelato41-5watermark.jpg,Cookies Fam. #designerweed,Connected Cannabis Co. Powered By Cookies.,Connected Cannabis Co.,"Who We Are

We’re not jumping on the marijuana trend in this country. It’s catching up to us. We’ve been living this life for years, because we believe in doing what you want. In freedom of expression. In pursuing happiness, and helping out others along the way. 

So we provide the highest quality recreational and medicinal marijuana products you’ll find. How do we know this? Because our toughest critics are ourselves, and if it’s not something we love it’s not going on the shelves. Ask our budtenders to help find the perfect match for what you’re looking for, and keep doing you."
GG (f.k.a. Gorilla Glue),https://ddd33q3967xhi.cloudfront.net/Q0W60SSTCFxmhIpfJGZEp8m7SKI=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fe64XnpkI8B5x4GtYcewcYEIGC04%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fgIFLf2YCRGa1wUSKBSHI_GORILLA%2bGLUE.jpg,"GG (f.k.a. Gorilla Glue), grown by Warm Ranch, is a potent indica hybrid strain that delivers heavy-handed euphoria and relaxation.","With an earthy pine aroma, this strain is known to “glue” you to the couch, (so it’s best used on days you don’t need to leave the house.) A cross of Chem’s Sister  and Chocolate Diesel, this flower is an ideal companion for anyone seeking relief from the stress.",Flow Kana,"Flow Kana is a different kind of cannabis business. We want to change the way our patients think about cannabis and the world as a whole.

Our values are simple. Respect the land and the medicine that it produces. No contaminants, no fancy packaging, no overpriced storefront. We bring the best of the farm to our patients' doors."
