1 Product Name,2 Product Image,3 Short Description,4 Product Description,5 Brand Name,6 Brand Description
Burnt Cookies,https://ddd33q3967xhi.cloudfront.net/HL4tUNJDorLfekhBC-SZQiwHofE=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fSWYvNBxnEjQAdN_IZ1-z47K6h6w%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fggzbiGYQt22DY5Feva2L_Burnt%2bCookies%2bplant%2b1%2bcopy.jpg,"Smoke a lemony gingersnap, and you'll know you're in the middle of some Burnt Cookies!","Burnt Cookies (Fire OG X GSC) bred at Rebel Spirit Cannabis is a terpene factory. At first, you'll smell an intense aroma of lemons followed by a hint of sweet ginger. Burnt Cookies has a smooth smoke and tastes like it smells. It's like smoking a lemon gingersnap. The high is cerebral and relaxing, good for a day where you need to stay focused and high. It has the tight bud structure that can be found in the original GSC and grows tall with terminal and axial limbs that stack up nicely. The flowers are manageable in size, about the size of a quarter and larger. Colas will stack from top to bottom. We here at Rebel Spirit prune lightly on this beautiful specimen. Burnt Cookies likes to grow indoors and in greenhouses and is gaining popularity quickly. This is a clone-only strain and is not available to the public.",Rebel Spirit Cannabis Company,"Decades ago a rebel, Uncle Mark, planted an idea that seeded a generation of like-minded people for this century. Located in the heart of Oregon’s Willamette Valley, our farm is working to preserve the legacy of Uncle Mark, our original rebel. Rebel Spirit is the culmination of years of hard work, determination, and the willingness to overcome the injustices of an oppressive era. Unfortunately, many people have suffered for freedoms that we now enjoy. The spirit of those sacrifices lives on with us now…

Rebel Spirit produces only top-quality cannabis. We understand that our customers have differing needs. We provide you with a variety of superior strains, each filled with a plethora of cannabinoids and created to breathe life into your adventure. Our cannabis strains are designed to fulfill your recreational and/or medical needs. Whether you choose the pure passion and euphoria of our rich sativas, the deep and relaxing calm of our smooth indicas, or the transcendent balance of our hybrids, we have a strain cultivated especially for you."
Candyland,https://ddd33q3967xhi.cloudfront.net/sDZ2zWkkKGmjnpyWCJJBBbU1vq4=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fk8-I_llvMnZUcjp4oUVI5tfT72w%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252f2xpxAy60Q7OQ6Wz7mMap_Candyland%2bNugs.JPG,"Purple and crystally with a unique sweet, yet skunky smoke",,Sweetwater Farms,"Our tagline says a lot about Sweetwater's drive to produce quality controlled, Craft Cannabis. We believe that in order for our plants to flourish, it is absolutely necessary that each plant under our canopy be provided with individual attention from seed to flower.  Stemming from our unique genetic lineages, enriched with our proprietary organic nutrient system, our recipe creates the most flavorful and aromatic buds on the recreational market today."
"Cannalope Haze, Single-Strain Pak",https://ddd33q3967xhi.cloudfront.net/SE9-Xtq1UvsR2tIwa_kgNaEx3xA=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fvvq4ysIQa6bCf5kiUn6IbR7B4po%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252f0CmYCopKSw21zniiN1Mp_huxton-cannalope-haze.jpg,Available in one eighth and one gram paks,This sunset-hued lady has both sweet and citrusy aromas. Expect a euphoric experience with a gentle taper. Piney undertones with a burst of melon will satisfy your taste buds.,HUXTON,"HUXTON is devoted to complimenting your lifestyle. 

Our cannabis strains result from small-batch, top canopy, hand-treated grow facilities. Our innovation results from HUXTON being one of the first experience-based cannabis brands in the US. We understand our HUXTON tribe, and have continuously honed the journey from farm to dispensary with them in mind. Enjoy proudly. 

*We treat our products naturally from soil to packaging, and hold ourselves accountable to regular testing for ensured consistency and quality."
Cannalope Kush,https://ddd33q3967xhi.cloudfront.net/5DQRt-1rpsfusVrgk-8A9FvuWTg=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2f5MtDYGqcegBC9919vhIpe7feLDg%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fcdn.filepicker.io%252fapi%252ffile%252fX2Bg3UK7TsCZUFdVpyQM,"Perfect to bust through fatigue or for early morning workouts, this strain can also be very calming and help with concentration.","Cannalope Kush originated from and OG #18 crossed with Cannalope Haze. Cannalope Kush has a sweet, citrus, almost tropical flavor and has an equally as fruity smell. This strain produces an energetic, euphoric high with bursts of cerebral activity. Perfect to bust through fatigue or for early morning workouts. This strain can also be very calming and help with concentration.",Cannasol Farms,"Nature intended for plants to be grown in the sun, and at Cannasol Farms, it is our dedication to growing the finest cannabis for over 20 years that led us to recognize that sun grown plants produce a better product. With dozens of unique strains, we have spent years perfecting the art and science of sustainable cannabis.

Because we believe cannabis only reaches its full potential in a natural environment, we grow our plants under the powerful Okanogan sunshine. Our complex sativa dominant strains take longer to mature, and their colas (the flower of the plant) need natural full spectrum sunlight to develop mature trichomes, which leads to more potent and rich cannabinoid profiles. You can see, smell, and taste the difference.

Because quality takes time, we don’t rush the plant. Many growers get eager to package their product, leaving it too green and raw. In order to achieve a more complex and refined terpene profile, you need time to slow cure as you would a fine tobacco or coffee. Cannasol Farms proudly slow cures our flowers for taste and experience rarely achieved in cannabis today. We select the best colas of the harvest to be hanged dry and slow cured in cool, low oxygen conditions. This allows the chlorophyl to degrade which smooths the smoke and allows the terpenes to be fully expressed, enhancing the cannabinoid profile. Cannasol Farms proudly long cures our flowers for taste and experience rarely achieved in cannabis today.

Cannasol cannabis is pure and natural, free from harsh pesticides and artificial chemicals. Only baking soda, potassium bicarbonate, and vinegar is used to prevent mildew and mold and regulate PH."
Cannatonic,https://ddd33q3967xhi.cloudfront.net/4TCJ-1gipV6OkOqz6ubV1MhTHHg=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fMd2OQvYEaNj9KkygC_Z1m2Z-81I%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fkofRxkTRDyvvmcg29d7A_cannatonic.jpg,,,Red Frog Cannabis,Tier 3 Producer/Processor
Cascade Connie,https://ddd33q3967xhi.cloudfront.net/shGrEBRoVuNYLm2MSuY4fS-Rdic=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fMVfaIn6owlzm8qRu-uCoTAqr-dc%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fWk49qUHgRpCadVEcDLPG_cascade%2bconnie.jpg,"Experience: A giggly, creative, dreamy high","Exhale and discover a hearty smoke with a grape taste finish, light touch of fresh mountain meadows and a robust woodsy aroma followed by a top notch chill session full of creativity and laughter. A little extra story and joke for your game table or camp fire moment.",Western Cultured,"Our promise is to continuously learn, grow and share our experience with our communities, establishing Western Cultured as a shining symbol of excellence within the Cannabis industry by delivering the finest consciously-crafted cannabis products, operating with responsibility and dispelling antiquated notions surrounding cannabis culture."
Caviar Gold,https://ddd33q3967xhi.cloudfront.net/XXxNWdQfBvhIwOzI3J4XRBI-HMQ=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2frXkf_3ltSblpA6AQiF4Y6eaQvhI%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fCjo9AMMDS4arNDKUxZ4E_001.jpg,,"The Original World’s Strongest - Caviar Gold is easily the most recognized of our products. We start with the best of the best, AAA quality, indoor cannabis. Now, other companies might just add some oil, kief, and call it day. Not Caviar Gold though - we infuse it all the way through - right down to the stem. It is only then that Caviar Gold is completed; by being entirely covered with a generous sprinkling of kief.",Caviar Gold,"Considered to be the best cannabis processors in the country, Caviar Gold utilizes a proprietary extraction method. The unique finishing process sets Caviar Gold apart from all other infused flower brands. Caviar Gold truly strives to provide patients with serious pain relief, sometimes even donating directly to those in need. Due to their heavy community involvement and various projects, Caviar Gold is more than a brand – they’re a lifestyle."
Caviar Silver,https://ddd33q3967xhi.cloudfront.net/WjBL0_sxD47oTSuwvfLqdfy2sQQ=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fWQR03aJmYW8Uk04tB5g6UFgtVeo%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252flw9Gn1SzRlWPtBzgH3d5_004.jpg,,"There is a well-known phrase that many people are familiar with - “first is worst, second is best.” While we cannot confirm that there is any truth to that statement, we can confirm that both our Caviar Silver and Caviar Gold are held to a very specific standard. To create Caviar Silver, we start with top shelf, AAA quality, outdoor cannabis. Next, the beautiful nugs are fully infused with hash oil - not just on the outside. Finish them off with a lush coating of kief, and there we have our Caviar Silver.",Caviar Gold,"Considered to be the best cannabis processors in the country, Caviar Gold utilizes a proprietary extraction method. The unique finishing process sets Caviar Gold apart from all other infused flower brands. Caviar Gold truly strives to provide patients with serious pain relief, sometimes even donating directly to those in need. Due to their heavy community involvement and various projects, Caviar Gold is more than a brand – they’re a lifestyle."
C. Banana Packaged 1/8th,https://ddd33q3967xhi.cloudfront.net/26bOgQZgNWtBMo7bhDEIq1E3Vjw=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2f-LGGAZvaEyYrV8VNARUOVgBdsxA%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252ft04A88a9SiNGPaNJYC0A_Utopia_July_17_LOW_RES-49.jpg,Potent pre-packaged 1/8th of flowers testing 29-34% THC,"The C. Banana has been a Utopia signature flower since the company's inception. Consistently testing 29-34% THC,  the strain is known for its powerful and immediate effects. With a surprisingly smooth and balanced onset, the experience is uplifting and energizing. C. Banana has an aroma of fruity, fresh bananas that is countered by organic, earthy notes. This sativa-dominant hybrid has dense, dark-green growth and light-green finished flowers that are coated in sparkly trichomes and yellow-orange hairs.",Utopia,"Utopia is built on authenticity, transparency and quality above all else. Orignially developed as an exotic indoor flower brand, Utopia quickly garnered attention with the launch of the potent C. Banana strain (testing as high as 35% THC). Disheartened by the industry’s lack of quality, clean-tested cannabis, we set out to develop a branded alternative to the unlabeled, un-tested products that filled dispensary shelves. Our commitment to consumers has resulted in products focused on purity, higher business ethics and unparalleled quality. Today, Utopia can be found throughout CA and has award-winning indoor flowers, high cannabinoid / high terpene extracts and healthy edibles."
CBD Kush,https://ddd33q3967xhi.cloudfront.net/N0ZsuD297UG6Zl6F7zSZ0IfQHo4=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2faCRzi4O5JSRkAHe1QUzCZh0oSBc%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fYV44Uh2TRampjGCi1BcA_A2F7FF39-D916-4BD3-8133-A9C75412280E-23776-0000199FC33AADAB.jpeg,"CBD Kush Flower Hybrid Indica Dominant Strain 1:1 THC/CBD 8% THC 8% CBD 100% Organically Grown, Pesticide & Hormone Free.","From the collaborative efforts of CBD Crew and Dutch Passion comes CBD Kush, a hybrid strain with equal parts THC and CBD. Bred from Kandy Kush and an unnamed high-CBD variety, CBD Kush typically tests around 7% in both THC and CBD, which may benefit consumers with a low tolerance or those treating conditions such as pain, inflammation, or anxiety. Its psychoactive effects are subtle, offering a tame experience that eases the muscles into relaxation without too much mental cloudiness.",Herbalogics,"Herbalogics produces cannabis-based health and wellness products serving patients in compliance with CA Prop 215, SB 420 Sections 11362.5 & 11362.7 of HSC.

The products that we have developed contain the highest grade concentrates and extracts whose entire life cycle from strain selection and cultivation to processing and manufacturing was done using natural, organic, pesticide and hormone free nutrients, and purified Ph balanced water. Our extracts use only the highest of food grade, and vegetable-based products to deliver a product that is organic, non-GMO, pure and free of materials that can cause harmful side effects."
