1 Product Name,2 Product Image,3 Short Description,4 Product Description,5 Brand Name,6 Brand Description
Lemonhead OG,https://ddd33q3967xhi.cloudfront.net/tupbK2n71CObpVFcfyRhhaLwqOQ=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fZ1Kj5Me6vUaOBZ44Z1ydZMoICHU%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fANGVAh7MQaSsn2DQUrZl_LEMONHEAD%2bOG.jpg,Lemonhead OG is a highly sought after strain that was bred out of a phenomenal OG Kush phenotype and then crossed with Goji OG.,"This particular flower, grown by Green Mountain Ranch, is an Indica hybrid with a distinct lemon-y flavor and aroma. Great for relieving stress and pain, Lemonhead OG is a favorite among all types of cannasseurs.",Flow Kana,"Flow Kana is a different kind of cannabis business. We want to change the way our patients think about cannabis and the world as a whole.

Our values are simple. Respect the land and the medicine that it produces. No contaminants, no fancy packaging, no overpriced storefront. We bring the best of the farm to our patients' doors."
Lemon Kush,https://ddd33q3967xhi.cloudfront.net/Cs0CvKcf0BeHWghPpmE3IAd0e7c=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fGgSF3zJvIERhooUPAIUk2UWaVxY%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fJDnooO7xSsgA19ZFRE6w_PF_review_icon_lemon_kush.jpg,"Potency  8.5 / 10 . . . . Lineage / Master Kush, Lemon Joy","Potency  8.5 / 10 . . . . Lineage / Master Kush, Lemon Joy . . . . Flavor / Lemon, Lime, Citrus, hints of Pine . . . . Positives / Great flavor, Big heady and happy high coupled with a nice relaxed body high . . . . Heads Up / None

—
THC / 18.2%   CBD / 0.0%   TERP / 2.9%",Pilot Farm,"OPEN SOURCE FARMING / We keep it simple and honest. Employing the techniques of master farmers of previous generations to produce, provide, and support a product and movement we can all feel good about. Applying the best in farming practices from nutrient density, biodynamics, permaculture, organics and sustainability to all aspects of the plant’s lifecycle (immature, vegetative, flowering, curing, trimming, processing and packaging), Pilot Farm is committed to producing the highest quality, Clean Green Certified®, sun grown, earth made, hand-harvested cannabis. Welcome to the farm—"
Lemon Kush,https://ddd33q3967xhi.cloudfront.net/UPEPBQTZkOz6ymeaonaDyLZlEWg=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fyuA6lPB4uRxvwQmdIwEfAQCvLqw%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fhItR0ROhTlKuzY9zh1SB_lemon.jpg,Sun grown and Certified Kind Organic,16.86% THC,GENESIS PHARMS,"Wholesaler, Producer, and Processor
541 505 8367

RSO PRODUCTS AVAILABLE NOW!
CBD/THC Whole Plant Concentrate 
Personal Massage Oil
Whole Plant Concentrate Vape Cartridge


We carry Sun grown and Organic Certified Kind Flowers. 
*SHISHKABERRY
*MASTER KUSH
*DURBAN POISON
*LEMON KUSH
*LEMON OG
*VIOLET DELIGHT
*GG4
*BLACKBERRY KUSH
*DEVILICIOUS 
*STARSHIP

MORE COMING SOON!"
Lemon Larry OG,https://ddd33q3967xhi.cloudfront.net/egbgzfqxsq_l9_2LxZkccQCX8m0=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fzVoKqb-B1416myQnbTj2iK-Ug8Y%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fRIdEEWMZRQqtWAeulann_Larry1.jpg,"Also called Lemon Larry, this indica is a cross (OG Kush and SFV OG). Larry OG produces a potent yet laidback body buzz that will allow you to relax.","Also called Lemon Larry, this indica is a cross (OG Kush and SFV OG). Larry OG produces a potent yet laidback body buzz that will allow you to relax while getting things done. The effects are happy and easy-going. This phenotype is great for relaxation, pain (inflammation), immune support, decongestion, and insomnia.  Like other members of the OG family, this strain has a very sweet and piney aroma and with this phenotype a distinguished citrus-like lemon aroma comes through. 
THC: 19%
Genetics: Larry OG x SFV OG
Terpenes: (Descending)(>0.5mg/g): 1.7 ϐ-Myrcene, 1.2 α-Pinene, 0.6 trans-Ocimene, 0.6 Linalool, and 0.5 ϐ-Caryophyllene",Taste Budz,"We focus on terpene/resin production with high THC content on most of our strains ranging from low strains we cut from our line 11-14%, to our average strains hitting 20-25% and our Grape Soda hitting as high as 30% Total THC.  Our name, Taste Budz, says it all as our product packs a flavorful bowl that tastes just as good and pungent as it smells in the jar."
Lemon OG 2400/Unit,https://ddd33q3967xhi.cloudfront.net/UefWnOc9hlu4K93dPkNQ1Yc6UPw=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2f64iCzqQKAIY4qsvQ3J1VSgCiyPc%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fsPQrhni8SVKntgpPQJYB_Image4.jpg,"2400/Unit No PM/Pests/Seeds Fire! Palm Springs, Coachella Valley","What this skunky indica lacks in longevity it makes up for in speed. A cross between the mythical Las Vegas Lemon Skunk and The OG #18, Lemon OG provides users with a quick-acting sleepy head sensation. While Lemon OG has inherited a skunky aroma from its kush relatives, this particular strain is mild tasting and pleasant smelling with fruity undertones. Lemon OG tends to feel more psychoactive than other members of the kush family, but still offers a heavy, medicated feel. The strain is great for stress relief and increasing appetite. These plants usually flower in 8-10 weeks.",Something Tight,Flowers & Concentrates Indoor Units Capped at 2400 all fire no PM/Seeds
Lemon Skyfall,https://ddd33q3967xhi.cloudfront.net/XNSHjwrJ8aeF10qM07A5rYtKsoQ=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fxSYFjLdX4pCHrKCDHc_jI__y6uA%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252f1ELbKaXdTsuniWwupSl8_lemon_skyfall_instagram%2bcopy.jpg,Lemon Skyfall is a Golden Lemon (DNA Genetics) phenotype produced by Rebel Spirit. Indica-dominant.,"(Kosher Kush x Lemon Skunk) 
You can never have too much citrus on your roster. Tell your budtenders you want Lemon Skyfall from Rebel Spirit. Cheers!",Rebel Spirit Cannabis Company,"Decades ago a rebel, Uncle Mark, planted an idea that seeded a generation of like-minded people for this century. Located in the heart of Oregon’s Willamette Valley, our farm is working to preserve the legacy of Uncle Mark, our original rebel. Rebel Spirit is the culmination of years of hard work, determination, and the willingness to overcome the injustices of an oppressive era. Unfortunately, many people have suffered for freedoms that we now enjoy. The spirit of those sacrifices lives on with us now…

Rebel Spirit produces only top-quality cannabis. We understand that our customers have differing needs. We provide you with a variety of superior strains, each filled with a plethora of cannabinoids and created to breathe life into your adventure. Our cannabis strains are designed to fulfill your recreational and/or medical needs. Whether you choose the pure passion and euphoria of our rich sativas, the deep and relaxing calm of our smooth indicas, or the transcendent balance of our hybrids, we have a strain cultivated especially for you."
Lemon Sour Diesel,https://ddd33q3967xhi.cloudfront.net/Qs03olLjTcyWLUM4my4ZnY_GIYs=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2f0xFqOQ_BduWcRbvj3dkVdEzIRqI%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fN6qkl7rFQAmUeZ65uoAE_LSD-OD.jpg,"Grown Rogue's LSD packs a confidence punch.  We almost feel invincible; there isn't much that can derail the euphoria feeling.  Intense, in a good way.","Lemon Sour Diesel or Lemon Diesel is well known for its intense taste of lemon, dense nugs, and fiery, orange hairs covering the flower.  Besides detecting a slight aftertaste, the diesel properties are noticable only in the aroma.  Lemon Sour Diesel is a heavy Sativa hybrid with effects described as uplifting, focused, and creative, Lemon Sour Diesel is also effective at relieving pain, making it a favorite for medicinal users who need to be active during the day.",Grown Rogue,http://www.grownrogue.com/
Lemon Tarts,https://ddd33q3967xhi.cloudfront.net/fAuKmfxUMho1riF5SHdm1oY56q0=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fsXF6wrVMUG_EXUbdQdzTvAJREdE%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fj0l2OPZT6W5tw3jxsBFz_AnimalCrackers_Flower_CertifiedPDX_Blk_1.jpg,GSC (f.k.a. Girl Scout Cookies) x Lemon Head,This indica-dominant hybrid of GSC (f.k.a. Girl Scout Cookies) & Lemonhead boasts relaxing yet functional effects & a very unique tropical fruit terpene profile.,Certified Portland,"At Certified Portland, we are committed to cultivating much more than high quality genetics from master breeders. We are also committed to nurturing higher standards of quality control & methodology in order to effectively deliver carefully crafted cannabis products to an ever-thriving industry, one in which quantity is infinitely unmatched by quality.

We believe that the strain is only as good as the breeder. Paying homage to those who craft the fine genetics found in many farms & nurseries around the globe is something that is not done enough, and something that we are passionate about. We strive to grow these incredible genetics as they were meant to be grown, with time and care."
Liberty Haze,https://ddd33q3967xhi.cloudfront.net/NriencFN6ymd4J-o03mqNEWQqvk=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2foY0UxNUlu9J98xJsugJ3lp7x8V4%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252f85PMGhfKTECZlo4IdsEa_LibertyHaze_StrainArt.png,Chemdawg  x  G-13,"Created by Barney’s Farm, Liberty Haze is known for its strong potency and dense trichomes. The flower has a lime green appearance with an abundance of amber hairs, and features a distinct citrus taste and aroma.

2011 High Times Cannabis Cup – 1st Place for Overall Winner",Virginia Co.,"At the Virginia Company, the most important goal is consistency. Consistency in flavor. Consistency in potency. Consistency in quality. And the only way to achieve unequalled consistency is to have complete control of your cannabis from seed to seal.

It starts with our Controlled-Environment Agriculture (CEA) approach. Our grow has been engineered to leave nothing in the growing process to chance and allow us to dial in temperature, humidity, carbon dioxide, light, nutrient concentration, and nutrient pH for each individual strain. A controlled environment also means nothing from the outside gets in and only the most potent cannabis is shipped out.

What makes the Virginia Company cannabis so special is the way it’s grown: high-pressure aeroponics. To be clear, this is not hydroponics—it’s better. High-pressure aeroponics is a system whereby the roots, suspended in air, are saturated by a fine mist of water and nutrients. And because the roots are suspended, there’s zero soil and 100% oxygen and carbon dioxide reception. The result is flower achieving its genetic potential every single time. And as a bonus, high-pressure aeroponics uses 65% less water than hydroponics, so you can rest assured it’s environmentally friendly too."
Liberty Reach Barney Rubble Flower,https://ddd33q3967xhi.cloudfront.net/XQx6lBE-czQI4_dcQTpnxnyk42g=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fQ356gd7WhMuKzZ4MIV5aLJpW5z4%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fGOuLfUFTVKguqvzQMvwp_Screen%2bShot%2b2017-07-09%2bat%2b2.38.30%2bAM.png,This hybrid's intense citrus and mango aroma will make your mouth water. Uplifting and energetic high.,"(17% THC)– Orange Cookies x Fruity Pebbles OG. Its intense citrus and mango aroma will make your mouth water. An uplifting and energetic high that will hit you right behind the eyes, a great functional daytime high. Her aroma is a unique blend with skunky and sweet undertones, and her appearance is super frosty and sugar-glazed with bright orange trichomes. 

Comes in 1g, 2g, & 3.5g sizes. Bulk sizes packaged in glass/mason jars include 7g, 14g, & 28g.",Liberty Reach,"Liberty Reach ™ grown out of the mission to promote freedom, life and the pursuit of happiness, much like the founders of this great country forged the United States Declaration of Independence. Our Nation was founded on these principles as is Liberty Reach ™.

We at Liberty Reach ™ , are dedicated to cultivating those ideals in the latest industry that serves the definition of those unalienable rights. Liberty Reach ™ , is dedicated to connecting people through their legal right to enjoy pure cannabis products."
