1 Product Name,2 Product Image,3 Short Description,4 Product Description,5 Brand Name,6 Brand Description
Liberty Reach Sour Sunset Sherbet Flower,https://ddd33q3967xhi.cloudfront.net/AQCC4DtzWKVVKu82_rItDH1wtpw=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fHri1jWTU93HHEbnP4kyr6ipQPlU%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252flhBxEzPAQAy0kMfxR3w3_Screen%2bShot%2b2017-07-09%2bat%2b3.06.22%2bAM.png,"This complex hybrid, testing at extremely high THC levels is as pretty as it is potent. For all you novice smokers: proceed with caution!","(27%-33% THC) – Sour Diesel x Sunset Sherbet. Our hybrid hit of the summer is Sour Sunset Sherbet, a popular strain with a sour twist. Sweet and pungent, this dark, dense, and kief-filled bud will hit you in the chest and send you flying. An earthy taste with a touch of apple. Comes in 1g, 2g, & 3.5g sizes. Bulk sizes packaged in glass/mason jars include 7g, 14g, & 28g.",Liberty Reach,"Liberty Reach ™ grown out of the mission to promote freedom, life and the pursuit of happiness, much like the founders of this great country forged the United States Declaration of Independence. Our Nation was founded on these principles as is Liberty Reach ™.

We at Liberty Reach ™ , are dedicated to cultivating those ideals in the latest industry that serves the definition of those unalienable rights. Liberty Reach ™ , is dedicated to connecting people through their legal right to enjoy pure cannabis products."
Liberty Reach Tangerine Power Flower,https://ddd33q3967xhi.cloudfront.net/WEOqOI3YucQvHIpzUFRVsd5h_QM=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fB2f-5_1_6j9tgRngebIcRE3imnQ%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fTOq0wYn9Q5aYYxNHhtzq_Screen%2bShot%2b2017-07-09%2bat%2b3.08.48%2bAM.png,Perfectly balanced hybrid. Powerful in aroma as well as potency.,"As pungent as it is potent (testing at 24% THC), this cerebral hybrid packs a punch with its mix of skunk, citrus, musk, and pine aromas. One of our most popular hybrid strains,  Tangerine Power is easily identifiable with its super dense, long nugs ornamented with bright orange trichomes. The product of Agent orange and Blue Power, Tangerine Power delivers a focused and social high, making it a popular daytime strain in moderate dosages. Comes in 1g, 2g, & 3.5g sizes. Bulk sizes packaged in glass/mason jars include 7g, 14g, & 28g.",Liberty Reach,"Liberty Reach ™ grown out of the mission to promote freedom, life and the pursuit of happiness, much like the founders of this great country forged the United States Declaration of Independence. Our Nation was founded on these principles as is Liberty Reach ™.

We at Liberty Reach ™ , are dedicated to cultivating those ideals in the latest industry that serves the definition of those unalienable rights. Liberty Reach ™ , is dedicated to connecting people through their legal right to enjoy pure cannabis products."
Locktite,https://ddd33q3967xhi.cloudfront.net/pqV1LbQRUWyLt6eqkB25gsaNq4w=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fmNE29pZE6VeCxj-FaRzHoqfA4uo%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fb7aAvoyQqAc6pEIObSwA_Screen%2bShot%2b2017-11-07%2bat%2b10.02.57%2bPM.png,Rainer X Gorilla #4,"Breeder: Red Eye Genetics
Hybrid
Genetics: Rainer X Gorilla #4
Flavor: diesel, earthy, pungent
High: happy, uplifted, euphoric, relaxed, hungry",Clandestine Gardens,"Clandestine Gardens formed with the intent to produce and process the finest cannabis in Washington State. The team optimizes extreme care in handling the product from start to finish. They practice with an old school vibe, and with knowledge of harvesting the finest of crops."
Locktite,https://ddd33q3967xhi.cloudfront.net/p8edaz3MqxVFeUZ-IxKo3UlEg1g=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fiFTUgSeg8mKX5d3JH7j1BeTO3tw%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252ff7HBtIzzSzUpzssmlc4U_DSC_8932.jpg,Locktite: May Rainier x Gorilla Glue #4,Locktite: May Rainier x Gorilla Glue #4,GreenRush - Washington ,"GreenRush Cannabis is a WA i502 producer-processor located in the scenic Snohomish Valley. We produce a clean, sophisticated crop that has become a preferred brand for a number of top shops in Washington state known for our consistent terpene flavor, high quality, and deep impact. 

GreenRush Cannabis comes highly recommended by expert budtenders and is often back-ordered by each of our vendors.

At this time, you can find Green Rush products in Washington State at these retailers:
-- Seattle Cannabis Co.
-- Bud Hut
-- Local Roots
-- Gold Bar Marijuana
-- Loving Farms
-- Puget Sound Marijuana
-- Cascade Kropz

Visit our website to find out which of our retail partners is nearest to you."
Lodi Dodi,https://ddd33q3967xhi.cloudfront.net/REK1JFsT3KdltjPdUDFxZzhbgxQ=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fSGgWa5BnRdsLbdt5xFi91od7GG8%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fsRNWBhQVCH432jfzhvHw_lodi_dodi_flowerR.jpg,Lodi Dodi is a Washington State favorite. Island fruits and botanical fragrance characterize this strain with its creative heady high while charging you up,"Sativa Dominant Hybrid. Its genetics are a mystery with its secrets kept in the vaults of its engineers. Aroma:: tropical fruits and wildflower. Effects:: energy boost, creative, and euphoric.",Pioneer Nuggets,"Founded in December 2013, Pioneer Production and Processing LLC is a first of its kind Washington State licensed manufacturer of cannabis products.  Located in Arlington, where the pioneer trail ends... but the pioneer spirit has never left."
Lodi Dodi,https://ddd33q3967xhi.cloudfront.net/BS2Az0mSM8Dh6kQpR-6YzAvvf8E=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fWo2PMfVWDP47QP9TRpCIR6NzkCQ%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fmHzReCH2TQGjZOU7Kei3_lodi%2bdodi%2b-logo.jpg,"SugarTop's signature strain, Lodi Dodi won 3rd Place for Indoor Flower at the 2016 Eugene Ganja Cup.","A SugarTop Buddery signature strain, this THC potent mysterious hybrid (likely some kind of Jack Herer/Haze cross) carries a sweet, unique flavor of tropical fruit and fresh wildflowers. The pungent aroma leads the way toward a cerebral buzz, known to spark creativity and a boost of energy that will turn any task into a more enjoyable adventure.",SugarTop Buddery,"SugarTop Buddery is a Eugene, Oregon based producer, cultivating Top Grade Tasty Flower and their own signature line of Pre-Rolls: “The Bats”.  SugarTop is proudly releasing their new Stubby Bat Multipack and will have collaborative batches of shatter available in the future.  Founded by musician/artist brother/sister duo Jarrod and Anna Kaplan,  SugarTop is a community oriented business focusing on supporting arts, music and local causes."
Lodi Dodi ,https://ddd33q3967xhi.cloudfront.net/zMlLNT4hgI_vgUhuTDWTa1uEUW4=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fMsRhfjz2uSZo0p2Wov-s1QcXYxQ%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fv8xu1ZraRJaUXOGzg1lx_LodiDodi1g_cutout.jpg,Lifted & Loose,"Soulshine's Lodi Dodi is a sativa strain popular in Washington State. Lodi Dodi carries a sweet, unique flavor of tropical fruit and fresh wildflowers. The pungent aroma leads the way towards a cerebral buzz, known to spark creativity and a boost of energy that will turn any task into a more enjoyable adventure.",Soulshine Cannabis,"Soulshine Cannabis is an indoor grow based out of Renton, WA. We set out to be a socially conscious cannabis company from the very beginning.  After figuring out our logo, box design, and what our brand meant to us,  it was important to focus on the packaging. It needed to be compostable, recyclable, and non-wasteful, while being unique, efficient, and something we would be proud to see in our retail partners stores."
Lollypop,https://ddd33q3967xhi.cloudfront.net/uXkAJn0xzzSEcAf2_iS_-Yt8IAU=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fpFbaZYwYjIhpxppbko2GgUcdCoE%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fniNYsn0MQzuOSaJKFdEx_lollipop_dry%2bflower_bedford%2bgrow-2.jpg,"Lollypop is a very versatile Indica strain, great for daytime or nighttime medicating with a candy-like flavor.",Lollypop is a very versatile Indica strain. This strain may provide the body with a light wave of relaxation. Patients may also find there is mental stimulation that works in tandem with the uplifting effects.,Bedford Grow,"From seed to patient, Bedford Grow upholds itself to the highest standards in plant care and quality products to provide therapeutic healing for the patients of Illinois."
Lou's Legacy,https://ddd33q3967xhi.cloudfront.net/szMO-tLEx3Rd7Q863a2ZPDFN0mQ=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2frAgTwulakwErS8ihKKtzn5jQpC8%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252ffcPb0OAvRjWlwwMARurB_lou%2527s%2blegacy%2bchem%2b4%2bx%2bnlh_dry%2bflower_bedford%2bgrow-4.jpg,Lou's Legacy is an Indica dominant Hybrid.,"Lou's Legacy is a longlasting Indica-leaning Hybrid. While effects may vary from patient to patient, one can expect a cerebral, physically sedating experience that finishes off with gentle relaxation without the couch-lock.",Bedford Grow,"From seed to patient, Bedford Grow upholds itself to the highest standards in plant care and quality products to provide therapeutic healing for the patients of Illinois."
Mail Order Bride,https://ddd33q3967xhi.cloudfront.net/Eo2QX3xWraWKT39kYV2QL5DM_ms=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fEAHdrFq-SjukhwvJ2FRyd2v2Cx8%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fcdn.filepicker.io%252fapi%252ffile%252fD4WgTp0mQFm9zVVLmx5t,"Mail Order Bride comes from a Bubba Love mother plant crossed with Taskenti, an Uzbeki landrace hash plant.","Mail Order Bride comes from a Bubba Love mother plant crossed with Taskenti, an Uzbeki landrace hash plant.",Cannasol Farms,"Nature intended for plants to be grown in the sun, and at Cannasol Farms, it is our dedication to growing the finest cannabis for over 20 years that led us to recognize that sun grown plants produce a better product. With dozens of unique strains, we have spent years perfecting the art and science of sustainable cannabis.

Because we believe cannabis only reaches its full potential in a natural environment, we grow our plants under the powerful Okanogan sunshine. Our complex sativa dominant strains take longer to mature, and their colas (the flower of the plant) need natural full spectrum sunlight to develop mature trichomes, which leads to more potent and rich cannabinoid profiles. You can see, smell, and taste the difference.

Because quality takes time, we don’t rush the plant. Many growers get eager to package their product, leaving it too green and raw. In order to achieve a more complex and refined terpene profile, you need time to slow cure as you would a fine tobacco or coffee. Cannasol Farms proudly slow cures our flowers for taste and experience rarely achieved in cannabis today. We select the best colas of the harvest to be hanged dry and slow cured in cool, low oxygen conditions. This allows the chlorophyl to degrade which smooths the smoke and allows the terpenes to be fully expressed, enhancing the cannabinoid profile. Cannasol Farms proudly long cures our flowers for taste and experience rarely achieved in cannabis today.

Cannasol cannabis is pure and natural, free from harsh pesticides and artificial chemicals. Only baking soda, potassium bicarbonate, and vinegar is used to prevent mildew and mold and regulate PH."
