1 Product Name,2 Product Image,3 Short Description,4 Product Description,5 Brand Name,6 Brand Description
Golden State Cookies,https://ddd33q3967xhi.cloudfront.net/OGkweiujExKKuTqMWkeCBtz6X1Q=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2f_LzkqO_Mqv6UNlup34czdglrGJA%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fBJt9nsAiRrSAoOSpPvWl_golden.jpg,GSC (f.k.a. Girl Scout Cookies) x Golden State (Memphis Belle x Northern Lights #5),"Indica Dominant Hybrid

Combine the classic cookies with the sativa hybrid of the Golden State and what you get is FIRE! Frosty, stinky and hazy yet mellowing and social.  You'll quickly be the most popular person when you light this baby up.",Yerba Buena,Clean Green Certified & Certified Kind. OLCC-licensed recreational producer in Oregon. 21+ only.
Golden Ticket,https://ddd33q3967xhi.cloudfront.net/mtjSUCCdveejHcgDyCNtZ6e4Oas=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fO8ybSBySY7TbEp56G2RJO14Y6BQ%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252f7BRE8aP2SvvMcBNJgo7Q_goldenticket.jpg,Heavy hitting Sativa consistently testing in the 27-30% THC range,Golden Ticket has a nice Citrus sweet but earth under tones. The balancing act between cerebral cloud cleaning and full body melt'ation is maintained elegantly through out the voyage as long as passengers don;t tempt their fate with the oompa loompas.,Cannabis Nation Cultivation,"What began as medical grow operation in Portland, Oregon, has emerged as a leader in Oregon's cannabis industry with a collection of dispensaries serving the Pacific Northwest.  Topping Leafly's ""Best of the Month"" list multiple times, we strive to continue to provide the highest-quality product and professionalism.

At Cannabis Nation dispensaries, our storefronts have been exquisitely designed with a unique open layout, allowing customers to take their time and enjoy browsing our plentiful selection of only the highest quality cannabis flower, much of which is still cultivated in-house, as well as top-shelf concentrates, edibles, topicals and tinctures.

Or, if you would prefer, our expert Budtenders will assist you personally.  Whether you are a first-time consumer, business professional, senior citizen, or OMMP cardholder, we will strive to ensure that any questions you have are answered and that you leave with the product that fits your needs and lifestyle.

With four dispensaries located in Beaverton, Seaside, Gresham, Oregon City and a fifth location coming soon to Sun River, our family of young entrepreneurs hopes that one day our company's name reflects reality.

Visit us soon and join the Cannabis Nation!"
Golden Ticket,https://ddd33q3967xhi.cloudfront.net/0G-2iCJdSG9YFnxBUk9wDwQsiro=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fEPFuk-LGb_UUdYbolRb0_uzOHpQ%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fnqfRRH7KTImKGOSrKnne_IMG_0876.JPG,Faceoff OG x Golden Goat,This pheno definitely leans more torwards a Chernobyl type high! Enjoy the ride.,West Coast Herbs,Tier 1Producer/Processor
Gold King Thai,https://ddd33q3967xhi.cloudfront.net/TLLNduVAijA_cJURyZv9LUq6DSA=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2f8i-ACMtRAdi0xztRvq6mCqW44gM%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252f5TufDQCTKlXSF5Y5ZSmg_gold%2bking%2bthai_dry%2bflower_bedford%2bgrow-10.jpg,Gold King Thai is a very gentle and uplifting Sativa strain.,"Gold King Thai is a Sativa strain. This flower may inspire creativity without inducing paranoia or anxiety. With a very smooth experience from beginning to finish, this flower is ideal for patients to use day or night when a boost is needed.",Bedford Grow,"From seed to patient, Bedford Grow upholds itself to the highest standards in plant care and quality products to provide therapeutic healing for the patients of Illinois."
Gold Star,https://ddd33q3967xhi.cloudfront.net/W6jxLwPud44H3OFCk_Z36RvlS88=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fpWk3uPxP4LDBO8tQYxgLUUDbwJg%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fWHanFLvkTWuU2809teiK_FullSizeRender%2b2.jpg,Indica,"Goldstar is the reward it's parents Sensi Star and Malawi Gold bestowed upon the cannabis community.  This heavy hitting India has a sweet, skunky diesel aroma and taste.  The relaxed and euphoric effects of this strain are likely to spark deep conversation and contemplation.",Jet City Gardens,"Tucked away in Seattle’s historic Georgetown neighborhood, in the shadow of Boeing Field’s final approach, Jet City Gardens is a family owned craft cannabis cultivator.  While other growers schedule takeoff immediately after harvest, we put our products in a holding pattern for 60 days because....we're all about the cure."
Grape Ape,https://ddd33q3967xhi.cloudfront.net/IHgmANT5-AOIJ45B4R9oxrg2Efk=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fcJJiFdb15NWWW2i2HAoXK8-LRj0%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252f3EbQgbeqQeuSRV03SZ8g_20170321_124118.jpg,"Indica- Sweet grape and berry flavors deliver  relief from chronic pain, stress, and anxiety.  Deep relaxation makes for great night time use.","Indica- Sweet grape and berry flavors deliver relief from chronic pain, stress, and anxiety. Deep relaxation makes for great night time use.",Dream City,"Greetings from all of us at Dream City!

We are a Tier 3 Producer/Processor located in historic Port Townsend on the Olympic Peninsula. Our company has an established reputation for delivering premium cannabis to our consumers and the highest level of service in the industry. Our commitment to honesty, integrity and customer satisfaction has allowed us to add “consistent quality” to our reputation as well. We use only honest test results and are competitively priced.

Our product is grown in soil. We believe the flavor benefits outweigh the production benefits of soilless grown product. We use 100% climate controlled, state-of-the-art greenhouses that allow us to maximize our ability to produce premium cannabis. Our use of pesticides is focused on Integrated Pest Management (IPM), and minimal amounts of WSLCB-allowed pesticides.

Our signature purple packaging and unique labels allow for our product to visually stand out amongst other brands while our beautiful Galatea dances on the back of the package, a testament to our Port Townsend heritage. We are always emerging with new products and product strains. Our inventory/price list is regularly updated and available to our retailers through a live link. We encourage any of our retail partners to bring their team up to the site for tours of the facility with the goal of educating and inspiring fellow members of the cannabis community."
Grape Calyx,https://ddd33q3967xhi.cloudfront.net/bZ2gJXdTqZxPnqszwSuEZRsQHGo=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2frqssZn-qbEvUhzEZ9RP-jQe1P6Q%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fEqRRUy70R2R62buNhmgt_grape.jpg,Grape Calyx by Calyx Garden is an indica dominant hybrid with over 25% THC and a terpene profile that gives this strain a uniquely strong nose & flavor.,"Grape Calyx by Calyx Garden is a strain with deep roots in a half-dozen genetic parents. Calyx Garden has been breeding this strain since 2012 and began by crossing Durban Poison and Master Kush. The cross was then combined with SFV OG, which was then bred with Platinum GSC. This “Suicide Girl” strain was then crossed with the rare Purple Pineapple to create a strain bursting with purple calyxes, appearing similar to a bunch of grapes dusted with trichomes. Grape Calyx is ideal for consumers seeking to relieve general physical discomfort, stimulate appetite, and enhance their mood.",Calyx Garden,"Calyx Garden is a brand of high potency cannabis varieties that were bred to cover a wide spectrum of highly desired traits. All of the varieties have a very unique cannabinoid ratio and terpenoid profile that were selected over many years of selective breeding with a focus on introducing beautiful, high cannabinoid flowers that have exceptional flavors and aromas. We have covered a wide spectrum ranging from Sativa dominant varieties to Indica dominant varieties that all have a unique cannabinoid ratio to cover a range of medicinally, recreationally and spiritually desired effects.
Our products are currently distributed to dispensaries throughout California. At this time we are expanding to other cannabis producers by offering several of our high grade brands and are working constantly on creating new hybrid strains which will be released in the near future."
Grape Dawg,https://ddd33q3967xhi.cloudfront.net/QTOeT46XMnncchQi0-LAG0Mh7dM=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fyzhqmBS7hqHC3sG0hWSnLC-Xcls%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fKstKceSUSvqhYtZfEHaM_Packages%2bIndica.jpg,"Indica  |  Lemon Kush X Alien Dawg (""Grape Pheno"")",Our signature Grape Pheno was mysteriously given to Master Grower Rob before circulating throughout the Pacific Northwestern region. The main purpose of the uplifting phenotype has always been to battle depression and it serves its second calling to combat hunger and nausea.,Nebula Gardens,"Nebula Gardens is a Tier III I-502 licensed producer/processor located in Washington state. Nebula was founded by a group of skilled and experienced growers all well-known from
Washington’s medical industry. Led by award-winning Master Grower, Robert Meyer, the company has adopted his organic and natural minded methodologies, and hands on approach to produce only the best quality cannabis in the state. Nebula also is armed with some of the industry’s top award-winning genetics, and a custom-built facility to guarantee consistent production of top-shelf cannabis.

Organics are Nebula's specialty. No pesticides, no fungicides, no herbicides, and lots of ""TLC"" are the keys to growing Nebula's pure and potent premium cannabis. Plants are cared for hands-on by individuals each and every day throughout the growing cycle. Nebula then follows up with rigorous internal quality controls and external lab testing to ensure standards are met for quality, purity, and potency.

Look out for an ever-evolving rotation of potent and flavorful strains produced by Nebula, as well as some of the state’s best concentrates. New strains often join the Nebula family as Robert runs a unique and exciting breeding program. This allows Nebula Gardens to always have original one of a kind product from seed to sale."
Grapefruit,https://ddd33q3967xhi.cloudfront.net/vd9mvmJLeG5Tqr0kCiS9WOGIH0M=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fvtgLZcUmGeJvCO6-l09pcbsc-Ss%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fMbjhJqtWSv2hwwTxuL3l_grapefruit.jpg,"This sativa-dominant hybrid has a sweet and citrus smell taste, while also giving off euphoric and creative effects.","This sativa-dominant hybrid has a sweet and citrus smell taste, while also giving off euphoric and creative effects.",Royal Tree Gardens,"It all started in the Summer of 2013 with an idea and a dream. 

With the passing of Initiative 502 in the fall of 2013 came the realization that opportunity was at hand. Having had experience growing for the medical side of the industry and a true passion for the plant, Max, Ryan and Spencer came together and founded what is now Royal Tree Gardens.

In March 2014, without the certainty of being licensed by the state, we apprehensively signed a lease on a warehouse in Tacoma, WA, where together, over the next 7 months, we designed and built-out the warehouse from the ground up. Through countless hours of hard work and dedication, we were able to complete the majority of the build-out ourselves while concurrently developing a brand-centric business plan with a focus and commitment to quality. Starting with a blank canvas allowed us to combine our knowledge of the cannabis growing environment and design a truly top tier facility for our plants.

In December 2014, after countless obstacles and setbacks, and applicable permits in hand, we finally received our license from the Washington State Liquor Control Board and were given the go ahead to begin producing cannabis.

More recently, after months of unconditional labor, we have welcomed on Judd as a part of the ownership. Charlie, a Master Grower and brother of Co-Founder Max, has also been added as a part of the ownership team and brings invaluable experience and work ethic.

Presently, the team here at Royal Tree Gardens is working extremely hard to produce the highest quality cannabis for the recreational market here in Washington. We feel privileged to be working with so many close friends and are excited share with you our passion for the plant!"
Grape OG,https://ddd33q3967xhi.cloudfront.net/iWQgISGGqBEC700JRWqRO_g49u0=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fgmnGki8WtcQatGRHFdNS0YBPey4%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fYTbItksLTXOu5L5r5Gux_GrapeOG.png,Grape OG is one of our signature flowers. This Indica dominant strain emanates a pungent un-mistakenly grape aroma.,Grape OG is one of our signature flowers. This Indica dominant strain emanates a pungent un-mistakenly grape aroma. The buds are gorgeous with green and purple hued leaves. The effects are long-lasting and powerful with a nice euphoric head effect and a relaxed body.,Emerald Jane's,"At Emerald Jane's, we are rooted in artisinally hand crafted-cannabis. We pride ourselves on quality over quantity and our strict attention to detail provides that level of quality that we’re striving for. Emerald Jane’s welcomes everyone, from the novice to the most discerning connoisseur, to discover the difference with our sophisticated line of products that are sure to take you on a journey of the mind and body. We invite you to enjoy the fruits of our labor."
