1 Product Name,2 Product Image,3 Short Description,4 Product Description,5 Brand Name,6 Brand Description
Sunset Sherbet,https://ddd33q3967xhi.cloudfront.net/w-KISwmEaIeSpPz4eWczNizdB9U=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fW1jzD858VMq_A_38SqvjumkpzbM%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fOpRp2IYSRiVL1ynbB3aQ_sunset-sherbet-flower-1600x1600.jpg,The Sunset Sherbet has a sweet earthy citrus aroma to it with a dense bud structure reminiscent of it's G.S.C. lineage.,The Sunset Sherbet has a sweet earthy citrus aroma to it with a dense bud structure reminiscent of it's G.S.C. lineage. With a super fruity and sweet terpene profile this one is a crowd favorite.,Apollo Grown,"In Greek mythology, Apollo was the son of Zeus and traditionally one of the most complex and important Gods. He was the God of music, truth, prophecy, healing, light, poetry, and creativity. Most importantly, it’s said that Apollo would ride Pegasus, the winged-horse, to the top of Mount Olympus every morning in order to bring the sun to the people.
The goal of Apollo Grown Inc. is to incorporate this energy into our practice of cultivating the highest quality recreational marijuana products that Oregon has to offer. Like the God Apollo, we strive to be leaders in our community and dedicate ourselves to help make the world a better place through our actions. This motto filters into each and every facet of our company."
Super G,https://ddd33q3967xhi.cloudfront.net/qZAU8ZYeekKnbZGWHB85X0ARlPo=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fMmhhsb8IjKnFEvhlF5DJOJeIbLY%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252frdS5tjptQdm5HYENhlQF_SSC_LOGO_medRedsquare.jpg,Mind & Body,"Super G by Soulshine Cannabis is a Haze-heavy power player that combines the stimulating elements of G13 and Super Silver Haze. This sativa-dominant combination smells of Haze, exhibiting earth and skunk aromas and pine on the exhale. The effects strike the head immediately, offering an uplifting mental buzz and pleasant body effects that complement the stimulation natural to this strain.",Soulshine Cannabis,"Soulshine Cannabis is an indoor grow based out of Renton, WA. We set out to be a socially conscious cannabis company from the very beginning.  After figuring out our logo, box design, and what our brand meant to us,  it was important to focus on the packaging. It needed to be compostable, recyclable, and non-wasteful, while being unique, efficient, and something we would be proud to see in our retail partners stores."
Superglue,https://ddd33q3967xhi.cloudfront.net/lrt43YbDQfCHItTtxwzwlZthxzU=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fxe3BUwI_7qkEpcRkalnf_KEMU8U%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fZiDt0ozxSpCBFRtUg3q3_Superglue%2b3.jpg,"A hybrid strain cross (Afghani and Northern Lights), Superglue inherits indica growth patterns along with a sweet caramel and pine fragrance.","A hybrid strain cross (Afghani and Northern Lights), Superglue inherits indica growth patterns along with a sweet caramel and pine fragrance. Superglue brings calming to the mind and body, but leaves you functional and energetic enough for social activities or a productive afternoon. 

THC:  23.3%
60% Indica / 40% Sativa
Genetics: Afghani x Northern Lights #5",Taste Budz,"We focus on terpene/resin production with high THC content on most of our strains ranging from low strains we cut from our line 11-14%, to our average strains hitting 20-25% and our Grape Soda hitting as high as 30% Total THC.  Our name, Taste Budz, says it all as our product packs a flavorful bowl that tastes just as good and pungent as it smells in the jar."
Super Lemon Haze,https://ddd33q3967xhi.cloudfront.net/6ylGfdCUdRhJfvCSi_K8SZMr8ZM=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2f1Z1u-jwHDSbHYbvniMaKis10JxA%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fdllrUiGLRrOegdZjJdAC_Super%2bLemon%2bHaze.jpg,"Super Lemon Haze is a slow creeper, starting with a light euphoria and moving into a cerebral and energetic high that lasts for days.","Type | Sativa
Genetics | Lemon Skunk x Super Silver Haze

Super Lemon Haze is a slow creeper, starting with a light euphoria and moving into a cerebral and energetic high that lasts for days. Combines deep thoughts and positive feelings for true daily inspiration.",Phantom Farms,"Phantom Farms, a licensed recreational cannabis producer, was founded in Oregon in 2008 on the principle that the best products come straight from the earth. We cultivate Clean Green Certified® cannabis using organic methods, sustainable practices and volcanic filtered water in both our indoor and outdoor facilities. No exceptions. When aligned, these factors provide for a flourishing ecosystem – the perfect environment for mighty tasty cannabis."
Super Lemon Haze ,https://ddd33q3967xhi.cloudfront.net/uJeehOUo24GCXjX6OBEM5h2LhAg=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2f7ne5f4ZJUhv1erdfSQOhvUtk_nc%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fdD6baLLpS52zyKg7DzKd_lemon%2bhaze.jpg,� Lemon madness,� Lemony flavor,Cooks Canna,San Francisco Bay Area producer of medical cannabis flowers
Super Lemon Jack ,https://ddd33q3967xhi.cloudfront.net/twn4cC2ALiLqpn6YY_3ECHdJ3Gs=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2ffm7EsMtcGfu9hByVNBktiTyjvJ8%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fhHsVlJFFRemRbcfXoRSS_lemon%2bjack.jpg,Super Lemon Jack,A lemony version of the Jack herer,Cooks Canna,San Francisco Bay Area producer of medical cannabis flowers
Super Silver Haze,https://ddd33q3967xhi.cloudfront.net/ilAaY4CSrmeej3hY31kDx1ZhKg4=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fd0lpqHn658kqraQ0tEcIBTKHH7Y%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fanYQ3eIxSmO6P8doB8Cy_silver%2bhaze.jpg,This fruity sativa-dominant offers a focused and energetic high that lasts. If the Silver Surfer smoked weed this would be his strain.,This fruity sativa-dominant offers a focused and energetic high that lasts. If the Silver Surfer smoked weed this would be his strain.,Dream City,"Greetings from all of us at Dream City!

We are a Tier 3 Producer/Processor located in historic Port Townsend on the Olympic Peninsula. Our company has an established reputation for delivering premium cannabis to our consumers and the highest level of service in the industry. Our commitment to honesty, integrity and customer satisfaction has allowed us to add “consistent quality” to our reputation as well. We use only honest test results and are competitively priced.

Our product is grown in soil. We believe the flavor benefits outweigh the production benefits of soilless grown product. We use 100% climate controlled, state-of-the-art greenhouses that allow us to maximize our ability to produce premium cannabis. Our use of pesticides is focused on Integrated Pest Management (IPM), and minimal amounts of WSLCB-allowed pesticides.

Our signature purple packaging and unique labels allow for our product to visually stand out amongst other brands while our beautiful Galatea dances on the back of the package, a testament to our Port Townsend heritage. We are always emerging with new products and product strains. Our inventory/price list is regularly updated and available to our retailers through a live link. We encourage any of our retail partners to bring their team up to the site for tours of the facility with the goal of educating and inspiring fellow members of the cannabis community."
Super Sour Diesel,https://ddd33q3967xhi.cloudfront.net/X3cvPSq6OcY3pzZqyTa5V2seWZE=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fArMwLONJ1Iqw3GiJqrvOU3tLMKs%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fWqGb4oTOTyyrUc4z1pQO_SSC_LOGO_medRedsquare.jpg,Euphoric Creativity,"Taking after its popular parents, Super Sour Diesel is one incredible sativa. A potent cross between Super Silver Haze and Sour Diesel, Super Sour Diesel knocks out stress and pain while fostering creativity and euphoria. In true sativa form, Super Sour Diesel energizes, making it great for daytime use. New users, however, should use caution when trying this strain. Super Sour Diesel produces strong cerebral effects, which may be overpowering to novice MMJ patients. Familiar users will be surprised at this strain’s introspective spark. Sociable and fun, the effects of this strain are felt upon first taste. Super Sour Diesel’s pungent, fuel-like aroma speaks to the sheer strength of this strain. It is Emily's favorite!",Soulshine Cannabis,"Soulshine Cannabis is an indoor grow based out of Renton, WA. We set out to be a socially conscious cannabis company from the very beginning.  After figuring out our logo, box design, and what our brand meant to us,  it was important to focus on the packaging. It needed to be compostable, recyclable, and non-wasteful, while being unique, efficient, and something we would be proud to see in our retail partners stores."
Super Sour Tangie Flower,https://ddd33q3967xhi.cloudfront.net/MpEFTDgbU03DlJvYMAZokP5FaoE=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2f9SKvUOvb7BQAzEgq-7oKTY20h7U%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252frvYLb2SdQiqmEFzaPPVF_sst%2bflower.jpg,,"For the the flower connoisseurs, this organic Sour Tangie is a sativa dominant cross between Sour Diesel and Tangie.

Grown in beautiful BC, this flower will leave your taste buds wanting more.

It has a potency of 15.58% THC.

The top four terpenes in this Super Sour Tangie are;

1. A-Pinene 2.8 mg/g

2. B-Pinene 2.1 mg/g

3. A-Terpinene at 1.5 mg/g

4. B-Myrcene at 1.5 mg/g",gronlabb,We create premium solvent-free extracts with medical grade standards.
Swami's Sativa,https://ddd33q3967xhi.cloudfront.net/MhYC9VxaH0p-tKQijhcrrcf9eQ8=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fAn8P8uptGLYT-eliq90NgauoJfs%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fePlr3E1QvYToszIC8S8g_strain%2bpic.jpg,"While some say Swami's Sativa exhibits traits similar to a Blue Dream, Nikki & Swami have put their own unique twist on a mix of a few different sativas to","Light and energetic, this earthy, lemony flower is great for any setting.",Flow Kana,"Flow Kana is a different kind of cannabis business. We want to change the way our patients think about cannabis and the world as a whole.

Our values are simple. Respect the land and the medicine that it produces. No contaminants, no fancy packaging, no overpriced storefront. We bring the best of the farm to our patients' doors."
