1 Product Name,2 Product Image,3 Short Description,4 Product Description,5 Brand Name,6 Brand Description
Coconut Oil,https://ddd33q3967xhi.cloudfront.net/PNwaHlttzOQdUEMIOJ-jagwUilg=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fv9usZbgyhbUi3YnMsiDY789Mtgk%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fXA1o0p2LSIafqOPF2XWq_a5b5f1ed-eecb-4836-a13d-dff4e7eb4bbd.png,"This phenotype has a distinct coconut profile, the sweet earthy and nutty smells will sweep you off to the islands for the day.","This sativa dominant SFV phenotype (60% sativa, 40% indica) was created from Cali Connection breed-stock and had such a unique smell and flavor, that it couldn't have been named more adequately.  This sweet sensi fire will keep you lifted all day, without much drowsiness to slow your day down.",Taste Budz,"We focus on terpene/resin production with high THC content on most of our strains ranging from low strains we cut from our line 11-14%, to our average strains hitting 20-25% and our Grape Soda hitting as high as 30% Total THC.  Our name, Taste Budz, says it all as our product packs a flavorful bowl that tastes just as good and pungent as it smells in the jar."
Comatose OG ,https://ddd33q3967xhi.cloudfront.net/l9XSe8MG-t6awN1Iw_jJb_cN1d4=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fisl6JfTJAudK8nmRslce-8Z2vO4%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252foyzaR1gLSQe88vGmgfTx_Comatose%2bOG%25f0%259f%2598%25b4%2b.%2b.%2b.%2b.%2b.%25250A%25250A%2523mainlandcannabis%2b%2523bcbud%25250A%2523medicalmarijuana%2b%2523cannabiscanada%25250A%2523indica%2b%2523kush%2b%2523sativa%2b%2b%2523weedlife%2b%2523hybrid%2b%2523cannabisculture%2b%2523maryjane%2b%2523mmj%2b%2523ogkush%2b%2523highlife.jpg,,,Mainland Cannabis,Providing a safe and reliable platform for patients from across Canada to purchase their medicine
Cookies,https://ddd33q3967xhi.cloudfront.net/5BMT7dv4CXRbfAk7tuh0DekvwmI=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fRgaDpg9yz5vSB68rG6jSHFqsfBU%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252ftBJhI6KES2WsqEA90r7u_cookies_dry%2bflower_bedford%2bgrow-6.jpg,Cookies is a heavy Indica strain.,Cookies is an Indica strain with a sweet citrus and warm chocolate flavor. This potent strain may lead patients to experience positive social interactions as well as powerful pain relief. Strain is recommended for evening medicating due to a sedating finish.,Bedford Grow,"From seed to patient, Bedford Grow upholds itself to the highest standards in plant care and quality products to provide therapeutic healing for the patients of Illinois."
Copper Rhino,https://ddd33q3967xhi.cloudfront.net/uNwqsDjyvVR3Evrq6UiZMHCARh0=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2f8hMykcGuDYZlUv3rQSryr3AIlI4%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fUxGWmnmCSJG2lZKptN7G_COPPER%2bRHINO.jpg,"Copper Rhino, grown by Elemental Botanicals in Humboldt, is a cross between Pennywise and Black Rhino.","This high CBD flower gives you a wonderful synergistic blend of medicinal benefits with a mellow, upbeat high. With a sweet aroma and skunky flavor, Copper Rhino is the perfect flower for a relaxing night with close friends.",Flow Kana,"Flow Kana is a different kind of cannabis business. We want to change the way our patients think about cannabis and the world as a whole.

Our values are simple. Respect the land and the medicine that it produces. No contaminants, no fancy packaging, no overpriced storefront. We bring the best of the farm to our patients' doors."
Corazon,https://ddd33q3967xhi.cloudfront.net/2ffqB-dxEXXpyhVhWNywEWKwac0=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2flbo7w13_zGYJq5gaVyFV2zJZbrE%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252f8vP11CA6S7mixe5Wm8TP_Corazon.jpg,Charlotte's Web x AC/DC,"HIGH CBD / LOW THC

There is everything relaxing and nothing heavy about this CBD-rich strain. Feel mellow, be mellow and let Corazon take you there.",Yerba Buena,Clean Green Certified & Certified Kind. OLCC-licensed recreational producer in Oregon. 21+ only.
Cotton Candy 2,https://ddd33q3967xhi.cloudfront.net/h4SO26ZvBOt7GKaVNOlQmdol6UI=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2flfeKHhGuV9JI-Hgp58sqqYAeMWY%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fy4sl2ow5SQOgx8yoDR2p_Screen%2bShot%2b2017-10-05%2bat%2b1.18.56%2bPM.png,"sweet, smooth, grape","Breeder: Clone Only
Indica
Genetics: Candy Kush X unknown
Flavor: sweet, smooth, grape
High: creative, relaxed, euphoric, focused",Clandestine Gardens,"Clandestine Gardens formed with the intent to produce and process the finest cannabis in Washington State. The team optimizes extreme care in handling the product from start to finish. They practice with an old school vibe, and with knowledge of harvesting the finest of crops."
Cotton Candy Kush,https://ddd33q3967xhi.cloudfront.net/62gdlvp7yY5J6qnYx1gObTGw84s=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fZLFnLq0Hy4va0xUEdX2h1BukFCk%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fbVup7UeTia9I6rXB31uJ_cotton%2bkandy.jpg,FROST ● FLORAL ● SWEET ● CALM,"(Indica Domiant)

Lineage:  Lavender X Power Plant

Structure: Soft, stout, and extremely frosty buds that display an array of purple hues and bright orange hairs.

Aroma: Pungent floral notes surround fresh picked blueberries and sweet grape candy. 

Taste:  Floral and earthy with an especially sugary exhale.  A sweet and delicious smoke.

Effects: Very euphoric accompanied by a strong body high. This strain will have you relaxing with a smile and carefree mindset anytime of day.",7 Points Oregon,"7 Points Oregon is a clean green certified, indoor cultivation facility for recreational cannabis based in Portland, OR. Our intention is to elevate the potential of our plants with emphasis on sustainability. There are 3 major things we feel go into growing great cannabis: Providing the best possible environment, utilizing quality organic inputs and love.

7 Points Oregon prides itself on striving to grow some of the cleanest and most flavorful cannabis possible. This process has led us to a style of growing called Veganics. This is a organic method of cultivation using only plant based nutrients and compost teas. This provides nutrition to the plant very quickly, leaving behind little residue. In our experience, this style of growing allows us to maintain our focus on organic process while also developing a wonderful terpene profile and creating an amazingly clean smelling and tasting product. Enjoy!"
Cotton Candy Kush,https://ddd33q3967xhi.cloudfront.net/E1dQOg3rVjq2i1Z6-ehKhReXcn8=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fNSWizfG-11c3tYv-l8QUv0bS--U%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fr1LNxM5RuWn6GK7ZfzKQ_Cottoncandy.jpg,,,Cannabis Nation Cultivation,"What began as medical grow operation in Portland, Oregon, has emerged as a leader in Oregon's cannabis industry with a collection of dispensaries serving the Pacific Northwest.  Topping Leafly's ""Best of the Month"" list multiple times, we strive to continue to provide the highest-quality product and professionalism.

At Cannabis Nation dispensaries, our storefronts have been exquisitely designed with a unique open layout, allowing customers to take their time and enjoy browsing our plentiful selection of only the highest quality cannabis flower, much of which is still cultivated in-house, as well as top-shelf concentrates, edibles, topicals and tinctures.

Or, if you would prefer, our expert Budtenders will assist you personally.  Whether you are a first-time consumer, business professional, senior citizen, or OMMP cardholder, we will strive to ensure that any questions you have are answered and that you leave with the product that fits your needs and lifestyle.

With four dispensaries located in Beaverton, Seaside, Gresham, Oregon City and a fifth location coming soon to Sun River, our family of young entrepreneurs hopes that one day our company's name reflects reality.

Visit us soon and join the Cannabis Nation!"
Critical Jack,https://ddd33q3967xhi.cloudfront.net/2Ve_74wzTW4NWRJ1_4JMhe2xO4k=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2f-2UgSaA6CvQSGx2Z5BwwmMZpjC8%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252f52aaEN1CQImq6gHoYa0w_crit%2bjack.jpg,"Critical Jack, a hybrid cross between Critical Plus and Jack Herer,","Critical Jack, a hybrid cross between Critical Plus and Jack Herer,",Vodis USA,"Our acclaimed master growers know that the finest quality marijuana is nurtured through respect. That’s why our natural products are tenderly crafted, hand harvested - and a tribute to those who enabled this illustrious journey.

We take pride in what we do, so that in turn, you can indulge in a smooth, full-flavored experience."
Critical Jack,https://ddd33q3967xhi.cloudfront.net/99hriC7b4V846IsD4-fZyrlNU0A=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fQG-UY7uOG6QNmm7qhpAsIoqZfXU%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252f5wGSlz1T3KfL9fYUf2Bw_CloseCrop_0011_CritJack.jpg,Critical Jack,,Sweet As! Cannabis Co.,"We started into this business as a humble family farm with a few dedicated cannabis cultivators. We began with a goal in mind: grow the best possible cannabis with the cleanest possible methods, staying true to the values that we find important in the Northwest. We bring consistent, top-shelf quality to everything we put our name on so that when you see the Sweet As! logo, you know you are getting the very best.

From seed to packaged product, we take pride in what we create. Our products are graded on their look, smell, effects, and flavor. If it doesn't meet our idea of great marijuana, we don't sell it.

From impeccably rolled smooth-smoking joints to some of the most refined concentrates in the market, we check at every step of the process to be sure that not only is the caliber of our cannabis among the best in the Northwest, but that this quality shows in our presentation to the customer."
Critical Kush,https://ddd33q3967xhi.cloudfront.net/9PK_Y9p3ru7SMqKCleKZDbhhVHE=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fLdfTiP344E29qPF5vHell89OdYU%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fkz66y6SGTEKcHLKydZst_Critical%2bKush%2b1.jpg,A mostly indica strain that blends together two famed cannabis staples (Critical Mass and OG Kush).,"A mostly indica strain that blends together two famed cannabis staples (Critical Mass and OG Kush). Aromatic notes of spice usher in a sedative sensation that relaxes the mind and body. Critical Kush pairs a high THC content with a moderate dose of CBD, making this strain a perfect nighttime medication for pain, stress, insomnia, and muscle spasms. . 

THC:  19%
40% Indica / 60% Sativa
Genetics: Critical Mass x OG Kush",Taste Budz,"We focus on terpene/resin production with high THC content on most of our strains ranging from low strains we cut from our line 11-14%, to our average strains hitting 20-25% and our Grape Soda hitting as high as 30% Total THC.  Our name, Taste Budz, says it all as our product packs a flavorful bowl that tastes just as good and pungent as it smells in the jar."
Critical Mass CBD,https://ddd33q3967xhi.cloudfront.net/ONROcDJRL9h9iNP_U_6nqqv5_hg=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fnhyhJ_V2HKNTH49R3O5vK4ZGHzM%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252f6o6UmmeToWihiOP1jr2u_critical%2bmass%2bCBD-logo.jpg,SugarTop's Critical Mass CBD won 2nd Place for Indoor Flower at the 2016 Portland Ganja Cup.,SugarTop Buddery's Critical Mass is a well-balanced 1:2 THC to CBD ratio.,SugarTop Buddery,"SugarTop Buddery is a Eugene, Oregon based producer, cultivating Top Grade Tasty Flower and their own signature line of Pre-Rolls: “The Bats”.  SugarTop is proudly releasing their new Stubby Bat Multipack and will have collaborative batches of shatter available in the future.  Founded by musician/artist brother/sister duo Jarrod and Anna Kaplan,  SugarTop is a community oriented business focusing on supporting arts, music and local causes."
Crockett's Confidential,https://ddd33q3967xhi.cloudfront.net/-C4Q1pzJNq0p2e-YnAGugXFyN08=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fMT3bKBA41bTSfbkxXw-McEjZFb0%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fbyyDyqgrQ0iX1WtTdHhp_Crockett%2527s.jpg,"This predominantly indica strain, has the typical hashy earthy flavors with a hint of apricot.","This predominantly indica strain, has the typical hashy earthy flavors with a hint of apricot.  Great for the after work couch time or before bed, this proprietary version of LA Confidential is a perfect way to end the day/night.

THC: 19%
70% Indica / 30% Sativa
Genetics: LA Confidential x Crockett Farm Secret",Taste Budz,"We focus on terpene/resin production with high THC content on most of our strains ranging from low strains we cut from our line 11-14%, to our average strains hitting 20-25% and our Grape Soda hitting as high as 30% Total THC.  Our name, Taste Budz, says it all as our product packs a flavorful bowl that tastes just as good and pungent as it smells in the jar."
Crown Royal OG,https://ddd33q3967xhi.cloudfront.net/-pOHFa93fN2RbxLMMz7xHcTGrqQ=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fGLC1-IiZRAZyBX3DAHtmEVp5_00%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252ftYJdLmxORJaT6stoJ0Jf_DSC_8995.jpg,Crown Royal OG: Royal Chem x Epoxy OG,Crown Royal OG: Royal Chem x Epoxy OG,GreenRush - Washington ,"GreenRush Cannabis is a WA i502 producer-processor located in the scenic Snohomish Valley. We produce a clean, sophisticated crop that has become a preferred brand for a number of top shops in Washington state known for our consistent terpene flavor, high quality, and deep impact. 

GreenRush Cannabis comes highly recommended by expert budtenders and is often back-ordered by each of our vendors.

At this time, you can find Green Rush products in Washington State at these retailers:
-- Seattle Cannabis Co.
-- Bud Hut
-- Local Roots
-- Gold Bar Marijuana
-- Loving Farms
-- Puget Sound Marijuana
-- Cascade Kropz

Visit our website to find out which of our retail partners is nearest to you."
Cush,https://ddd33q3967xhi.cloudfront.net/UipwQAz-xKtGFCX4EDlq8wQ2250=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fvmSXIEtQtZg3sQ0jo3H7C2xvFDQ%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fcdn.filepicker.io%252fapi%252ffile%252fAwZQGnivTPahtIcSyHLL,While being a very strong cerebral high Cush can also leave the you focused and alert.,"Green Crack or Cush, is a descendent of Skunk #1 crossed with a possibly unknown Afghani strain but some believe the other side of its genetics can be traced to Sweet Lead Indica, originating out of Athens, GA in the 1970’s. Green Crack has a sweet - citrus and earthy flavor. Green Crack may be slow to show its effects but do not doubt, Green Crack can be very potent. This strain can be very uplifting, providing the user with a pleasant, euphoric high. While being a very strong cerebral high Green Crack can also leave the you focused and alert.",Cannasol Farms,"Nature intended for plants to be grown in the sun, and at Cannasol Farms, it is our dedication to growing the finest cannabis for over 20 years that led us to recognize that sun grown plants produce a better product. With dozens of unique strains, we have spent years perfecting the art and science of sustainable cannabis.

Because we believe cannabis only reaches its full potential in a natural environment, we grow our plants under the powerful Okanogan sunshine. Our complex sativa dominant strains take longer to mature, and their colas (the flower of the plant) need natural full spectrum sunlight to develop mature trichomes, which leads to more potent and rich cannabinoid profiles. You can see, smell, and taste the difference.

Because quality takes time, we don’t rush the plant. Many growers get eager to package their product, leaving it too green and raw. In order to achieve a more complex and refined terpene profile, you need time to slow cure as you would a fine tobacco or coffee. Cannasol Farms proudly slow cures our flowers for taste and experience rarely achieved in cannabis today. We select the best colas of the harvest to be hanged dry and slow cured in cool, low oxygen conditions. This allows the chlorophyl to degrade which smooths the smoke and allows the terpenes to be fully expressed, enhancing the cannabinoid profile. Cannasol Farms proudly long cures our flowers for taste and experience rarely achieved in cannabis today.

Cannasol cannabis is pure and natural, free from harsh pesticides and artificial chemicals. Only baking soda, potassium bicarbonate, and vinegar is used to prevent mildew and mold and regulate PH."
Dark Star,https://ddd33q3967xhi.cloudfront.net/O7x1dDVc9sCLzitqbTxsYqs2BNc=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fu9eUCBPZL1ksOvIBar1D8O3Tu4k%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fu6bgLVcpTpi3jO01EqBM_Dark%2bStar.png,23.49% THC 3.33% Terpenes,"Rogue Farmer's Dark Star comes in at 23.49% THC and 3.33% Terpenes. Dark Star is a deep, spacey Indica that is rich in CBD's and is a cross breed of Mazar-I-Sharif and Purple Kush. Because of it's CBD qualities, it has amazing benefits regarding pain, depression and anxiety. It has a rich earthy scent and will leave you with a soothing calm.",Rogue Farmer ,Sun Grown
