1 Product Name,2 Product Image,3 Short Description,4 Product Description,5 Brand Name,6 Brand Description
Uncle Monkey Haze,https://ddd33q3967xhi.cloudfront.net/D9n7sX2b0uFwtdbxaIhTtTTD0LY=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fnhmllAO0JEP5znKTANwSCivqAJ4%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fHrlZbLJORImrHKBX70jo_uncle%2bmonkey%2bhaze_dry%2bflower_bedford%2bgrow-4.jpg,"Uncle Monkey Haze is a gentle, long lasting Sativa flower.","Uncle Monkey Haze is a gentle Sativa strain. This flower is recognizable by the tangy, sweet aroma. Patients may experience uplifting, social, energizing effects without the sharpness that can induce anxiety. Due to the uplift and energy, medicating with this flower is recommended for daytime.",Bedford Grow,"From seed to patient, Bedford Grow upholds itself to the highest standards in plant care and quality products to provide therapeutic healing for the patients of Illinois."
Unicorn Flower,https://ddd33q3967xhi.cloudfront.net/PDZZSyYEmcdNFIfY_ehEYDG7ufY=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fsUAZNWRSOMnAv98THxfAjE8RPO4%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252f9hFgXa9qR8e1SMv4AZVt_unicorn%2bflower%2b2.jpg,,"This Veganic Unicorn Flower is a sativa dominant hybrid.

Grown in beautiful BC, this flower will leave your taste buds wanting more.

It has a potency of 18.02% THC

The top four terpenes in this flower are;

1. B-Myrcene at 6.2 mg/g

2. P-Cymene at 3.8 mg/g

3. Terpinolene 2 at 3.6 mg/g

4. A-Pinene at 1.5 mg/g",gronlabb,We create premium solvent-free extracts with medical grade standards.
UW,https://ddd33q3967xhi.cloudfront.net/AKpniQm2jNqrE_zw4_HHLCRmBH0=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2ffrqueTuUYDrJGr-yRcU5LaVzjcQ%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fL4p4O8ZnQImju2QoDwdl_uw.jpg,,"CascadeHigh's UW is one of the finest Hybrid strains to be found, an Indica-dominant with high THC and densely green buds. The fruity and spicy smells of this strain match its delectable taste, while its potent effects immediately soothe with a body high that spreads throughout the body while gently calming the nerves. UW works great to manage sleeping disorders, anxiety or chronic pain.",Cascade High,Our mission is to consciously and responsibly cultivate quality cannabis for a consistently enjoyable user experience.
UWOG ,https://ddd33q3967xhi.cloudfront.net/kyWE0fsnSODc_qBiR5GTvvfuqAM=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fn4uC_1fJq485o6_Cw98ayw6RgBY%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fAbWNvvUiREC0nlKu55qQ_uwog.jpg,Indica,"This highly potent, dense, sticky bud produces a blue-violet coloration. With a savory fragrance and tropical harvest taste. This mouthwatering strain is almost entirely indica, breeding a tranquilizing effect.",Outlaw Cannabis Company,"Twenty years of experience in the marijuana industry brings you a team of 20 Outlaw experts. As a result, our facility, growing practices and brand has been featured in leading industry trade publications.

Our staff is skilled in growing practices for indoor / outdoor productions. We provide quality cannabis that can reach potency up to 34% THC. Our investment in both a unique light deprivation process and high quality genetic lines yield a higher quality plant.

When an order is needed, the Outlaws will be there. We are one of the first in our industry to invest in Green Vault’s automated batcher, that packages our product in 700-1000 units per hour."
VA Haze,https://ddd33q3967xhi.cloudfront.net/QXEYdMQhBHSqp_qo25hZVlnTpkA=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fPBiB52Cy5WZzwt8wzS73_CebE0Y%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252faCurJJqpT3SEoyUfqSyW_va%2bhaze_dry%2bflower_bedford%2bgrow-4.jpg,VA Haze is a potent Sativa flower.,"VA Haze is a potent Sativa flower. Patients may experience immediate uplifting, cerebral effects making this flower a daytime medicine. This flower may also cause sedative effects as well as appetite stimulation. Patients who suffer from anxiety will want to start with low doses of this medicine.",Bedford Grow,"From seed to patient, Bedford Grow upholds itself to the highest standards in plant care and quality products to provide therapeutic healing for the patients of Illinois."
VCDC,https://ddd33q3967xhi.cloudfront.net/YBlZ97br2VBcm96xABvuzrvfsQA=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fIeRsELAWjcRrbsdQ31W6d9s1rew%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fWVuh2OiRpmbH5NY3Jilz_VCDC%2bstock.png,,,Silver State Trading,"Silver State Trading is dedicated to providing Nevada with the cleanest and highest quality flower, concentrates and other cannabis products on the market."
Violet Delight,https://ddd33q3967xhi.cloudfront.net/JfGoQP3zd548dd_eN6qCI6cINuE=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fK82W1R2hCuDInOs9Lsl2vcnum3A%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fKPwdNX2QKaqEh893sRrh_t.jpg,Sun grown and Certified Kind Organic,16.44% THC,GENESIS PHARMS,"Wholesaler, Producer, and Processor
541 505 8367

RSO PRODUCTS AVAILABLE NOW!
CBD/THC Whole Plant Concentrate 
Personal Massage Oil
Whole Plant Concentrate Vape Cartridge


We carry Sun grown and Organic Certified Kind Flowers. 
*SHISHKABERRY
*MASTER KUSH
*DURBAN POISON
*LEMON KUSH
*LEMON OG
*VIOLET DELIGHT
*GG4
*BLACKBERRY KUSH
*DEVILICIOUS 
*STARSHIP

MORE COMING SOON!"
Violet's Delight,https://ddd33q3967xhi.cloudfront.net/Tu6WuwMDgURx7Nkm-TElg-qHH1U=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fSD8oqZcdsYRCUp7KIqpuXLJyvz4%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fB6tOJSoLSCyDWyCrAEg6_violet%2527s%2bdelight.jpg,"floral, berry, sweet //// spicy, lavender, sweet","Starts with a heavy smell of blueberries and flowers. This indica dominate Hybrid promotes relaxation and stress relief, while not being too sedative. You'll find yourself in a clear but giggly, almost meditative state. Ready for social interaction, or ready or yoga!",Cannabis Nation Cultivation,"What began as medical grow operation in Portland, Oregon, has emerged as a leader in Oregon's cannabis industry with a collection of dispensaries serving the Pacific Northwest.  Topping Leafly's ""Best of the Month"" list multiple times, we strive to continue to provide the highest-quality product and professionalism.

At Cannabis Nation dispensaries, our storefronts have been exquisitely designed with a unique open layout, allowing customers to take their time and enjoy browsing our plentiful selection of only the highest quality cannabis flower, much of which is still cultivated in-house, as well as top-shelf concentrates, edibles, topicals and tinctures.

Or, if you would prefer, our expert Budtenders will assist you personally.  Whether you are a first-time consumer, business professional, senior citizen, or OMMP cardholder, we will strive to ensure that any questions you have are answered and that you leave with the product that fits your needs and lifestyle.

With four dispensaries located in Beaverton, Seaside, Gresham, Oregon City and a fifth location coming soon to Sun River, our family of young entrepreneurs hopes that one day our company's name reflects reality.

Visit us soon and join the Cannabis Nation!"
Waltz Haze,https://ddd33q3967xhi.cloudfront.net/ot9ryZ6ExXD1NUN8V8wD6ggyJWs=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fcSw7970UiMsDSCtc63u819Is8sk%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fQH8tpBPoQh2Bb8QekvvI_waltz%2bhaze_dry%2bflower_bedford%2bgrow-8.jpg,"Waltz Haze is an uplifting, euphoric Sativa flower.","Waltz Haze is a Sativa flower that is multifaceted. This potent flower may give immense physical relaxation and positive, uplifting effects.",Bedford Grow,"From seed to patient, Bedford Grow upholds itself to the highest standards in plant care and quality products to provide therapeutic healing for the patients of Illinois."
Watermelon - Indica - BCWEEDCO,https://ddd33q3967xhi.cloudfront.net/vnI0dGz5jI2fgt2agtuQ6X8qt68=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fzLvhVRxSFlgQlOHCnlyNECNuMQY%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fSNNSBACGQ5ebAw2JwAuO_watermelon_sq_720.jpg,"Watermelon Kush is said to have an intense euphoric feeling and is very uplifting and energizing, something different than other traditiona Indica.","Watermelon Kush is said to have an intense euphoric feeling and is very uplifting and energizing, something not normally found within the more traditional types of Indica strains. Aroma of this strain is very distinctively watermelon with a little bit of grape thrown in. The flavor is quite a treat with sweet taste of not only watermelon, but also strawberry and other berries.",TopLeaf Canada,"Here at TopLeaf.ca our team sources our products from only the top licensed producers on the west coast Canada. Cannabis Culture is a lifestyle choice, we believe you have the right to make that choice for yourself!"
