1 Product Name,2 Product Image,3 Short Description,4 Product Description,5 Brand Name,6 Brand Description
Fire Angel,https://ddd33q3967xhi.cloudfront.net/HtDyAd4h-aDN8FBWaAOA6Iiv174=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fpKzQScoIY2o6UgqY8ihf-UTGak0%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fVilpXObsTzSmEADfcM9m__MG_5243.jpg,CBD for Life,Fleur Cannabis offers this Fire Angel strain to soothe patients seeking lasting relief without unwanted psychoactivity. Fire Angel is a CBD-dominant Hybrid with a fiery blend of citrus and pine-peppered terpenes. This lovely lady is ideal for relieving pain and inflammation and fills the body with a soothing sense of ease that allows the mind to remain clear and focused.,Fleur Cannabis,"Fleur Cannabis practices a sustainable, organic cannabis cultivation by applying the ethics and principles of permaculture to its No-Till Living Soil systems and operating procedures. In doing so, this cannabis cultivation method produces a consistent, safe and high quality product for your enjoyment!

Our innovative growing style models natural ecosystems and utilizes the ethics and principles of permaculture to maximize the benefits of our Organic No-Till living soil. With the soil food web as our cornerstone, our growing style is truly organic and takes into consideration not only the health of the consumer  but that of the environment as well. This method of cultivation focuses on quality organic inputs, never using any synthetic fertilizers or chemical pesticides. What this translates into; is the safest, highest quality cannabis brand that you can trust.

We are Dragonfly Earth Medicine Pure and Clean Green Certified."
Fire OG,https://ddd33q3967xhi.cloudfront.net/s48FHTdCAeVrBNFVPcI4LG0bSt4=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fkyrHIxYx_Qwfh9jm2RBajyl9SkU%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fQD5NHQlUSl9qLnzHXEtL_FIRE%2bOG.jpg,"Fire OG, grown by Green Mountain Ranch in Mendocino County, is a notoriously strong OG strain.","A cross of SVG OG Kush and OG Kush, Fire OG has a heavy citrusy smell and earthy aroma. This indica is known to have sedating effects that last for hours, which makes it a favorite among those seeking a good night’s sleep.",Flow Kana,"Flow Kana is a different kind of cannabis business. We want to change the way our patients think about cannabis and the world as a whole.

Our values are simple. Respect the land and the medicine that it produces. No contaminants, no fancy packaging, no overpriced storefront. We bring the best of the farm to our patients' doors."
Fire OG,https://ddd33q3967xhi.cloudfront.net/i5qMAMkddGufvFbZso-VJiAtrxU=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fJ7WKEUu6y8iOXdbppsCvnzsAvys%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fNJcNBKi6THKxrFI7VNen_fire%2bOG.jpg,Straight Fire,Straight Fire,Winberry Farms,"Specializing in Organic Flower and Extracts

One of the first recreational cannabis farms to be licensed by the state of Oregon, Winberry Farms was started by friends and their families. Specializing in naturally sungrown product from quality genetics, our flower is expertly cultivated, perfectly cured, and farm fresh to you. Always grown with organic process and fertilizers. Our farm is located in the Southern Willamette Valley 30 miles southeast of Eugene, nourished naturally by the waters of Winberry Creek."
Fizzy Pop,https://ddd33q3967xhi.cloudfront.net/tR_m68ICUz_Oq3_QpXCg9vG2IIU=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fD7Bk6rpdY7vGigTbXyDx_sRwigQ%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fN102QG1WSnqxEwk92RS2_49ADC27E-3E17-45A7-A272-7E6024E1AC97.jpeg,Thai Pearl x Australian Sativa,"An all around powerhouse that brings the flavor and potency of the Thai Pearl and combines it with the madness high-type of the Australian Sativa. What you get is some beautiful, terpene-rich, buds that bring a powerful and balanced high with a flavor of bubblegum, mixed fruit and dank earthy richness.",Astoria Farms,"Astoria Farms is a small-scale producer of high-quality cannabis flowers in the lower Columbia region of Oregon. Our flowers are lovingly grown in Coco-Coir, a renewable byproduct of coconut production, and fertilized with natural organic ingredients to produce cannabis with fine aromas, flavors, and highs.  Our buds are dried slowly over several weeks, hand trimmed, and gently handled to preserve flower quality and consistency.  

Astoria Farms provides beautiful, organically grown, cannabis that retains each strain’s natural attributes and finer qualities.  Much of the cannabis experience lies within the subtle and is synergistic in nature.  Our flowers taste best and provide the most distinctive experience when consumed by vaporizing.  Our strains are chosen over time for their ability to consistently provide positive experiences and effects, be they medical, recreational, or spiritual.

Follow us on Instagram for current grows and product availability. @astoriafarmsoregon"
Flower,https://ddd33q3967xhi.cloudfront.net/Gt6LZAgAh7G47IG1XsLZV6kvKrA=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2f4RuTX_A4NOdjjJFzXtae-KmEYHA%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fMXmXPP15RLeChZNnL6kJ_16831816_1449604171757570_328677371381769734_n.jpg,With our currently offering samples of 100% organic flower grown from our seeds.,"Check our website for full menu:

http://saruman669.wixsite.com/justseedsandstems",Just Seeds and Stems,"Just Seeds and Stems is a not for profit organic seed bank and nursery in Northern California.  Our mission is to bring 100% organic medical grade cannabis seeds and clones to Northern California.  We will be offering organic flower, concentrates, extracts, infusions and edibles to donating members during our launch so they can sample our strains and products."
*FLOWER,https://ddd33q3967xhi.cloudfront.net/mzyYegkCQxDXmzc8pujtGPYTXPw=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fJeU6wvL6bHzDqYENg7qnPYOB5NE%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fSZscO8jzTB2xANmB4IKE_BlackJack_HighRes01.jpg,Lola Lola ™ Grade A Fresh Flower,"Enjoy the superior flavor and freshness of 100% organic flower, grown and harvested to the highest standards of alchemy. 

•	Meticulously farmed, sun-kissed artisanal cannabis
•	Hand picked, hand trimmed and hand packed 
•	Glass cured for long-lasting freshness
•	High potency cannabinoids",Lola Lola,"In Lolandia, our craft is cannabis and our tribe is magic. We source only the choicest flower and most colorful concentrates from Golden State alchemists, so every but you breathe has been hand picked, hand packed and hand extracted with the kindest of vibes. Our alchemy is one part science and two parts Lola. Our mission is to deliver experiences that inspire expansion of the mind, community, and overall wellbeing of humankind."
Flower Collection,https://ddd33q3967xhi.cloudfront.net/BdNyVXnmMVEJJo9oIGV07kYLr10=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fm7XF2d7ZojrFqin_lCI8dJyg7Ks%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fcdn.filepicker.io%252fapi%252ffile%252fGU0uvWO4QMSmn6835dlP,"Indica, Sativa or Hybrid, we have the right buds at a price that will make everyone smile. Our flowers come in one, two, three, five & seven gram packages.","The Crook is responsible for growing all our flowers. He takes pride in growing a wide variety of Indica, Sativa and Hybrid dominant strains, which are well-suited for just about any situation. Whether you are laying on the beach with friends, daydreaming about the shape of clouds or hitting the streets for the city’s summer festival, we have the right buds for you at a price that will make everyone smile.
You can find our flowers in: one, two, three, five and seven gram packages.",Doctor and Crook Co.,"We use the lessons we’ve learned over the years to ensure we are providing you with the best possible craft cannabis that is Crook tested and Doctor approved.
At Doctor & Crook, we prescribe good times. GROWN IN 100% ORGANIC SOIL WITH NO PESTICIDES"
Flower jars,https://ddd33q3967xhi.cloudfront.net/Dm9d23jzCGjCmIsO7n9DptuEGcw=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fsjQxtsqXrnHWvyqh8QO8d7Ctkqo%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fecDYaPowTnSwIdbzp2lb_01_01_JAR-01.png,our new sealed glass jar flower container,our new jars will contain exotic cannabis strains that are 100%  organic indoor! they will be  flower for connoisseurs!,Canna Delights,"Canna Delights is a California based company dedicated to the best Indoor Organic/Veganic cannabis. Our products are for people who understand the difference in taste and smell and consider themselves ""Connoisseurs"". Our creator is an expert who traveled the world in search of the most exotic seeds in order to create his genetics. After a few years collecting seeds, he decided to create Canna Delights to ensure the best and most powerful exotic strains. His selections distinguish from other brands due to smell and purity when product is inhaled."
Fortune Cookie,https://ddd33q3967xhi.cloudfront.net/eP2PTcLIbkmjWprQ9X-lGIotNAk=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2feZO7mCIDnvR5XY0YZzI4RgsiDW4%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fZDPgg4aTfzC2TSwuGCyQ_fortune%2bcookie.jpg,"Herbal, honey, nutty //// earthy, pungent, sweet","Fortune cookie is a great strain to kick start the appetite, turn up the volume and pre-heat the oven. Genetics usually lead this strain to being Sativa dominate, inducing a soaring long lasting buzz perfect for creative escape, It can hit harder in large doses, pushing past the confines of a subtle buzz into a couch lock heavy effect indicative of an Indica.",Cannabis Nation Cultivation,"What began as medical grow operation in Portland, Oregon, has emerged as a leader in Oregon's cannabis industry with a collection of dispensaries serving the Pacific Northwest.  Topping Leafly's ""Best of the Month"" list multiple times, we strive to continue to provide the highest-quality product and professionalism.

At Cannabis Nation dispensaries, our storefronts have been exquisitely designed with a unique open layout, allowing customers to take their time and enjoy browsing our plentiful selection of only the highest quality cannabis flower, much of which is still cultivated in-house, as well as top-shelf concentrates, edibles, topicals and tinctures.

Or, if you would prefer, our expert Budtenders will assist you personally.  Whether you are a first-time consumer, business professional, senior citizen, or OMMP cardholder, we will strive to ensure that any questions you have are answered and that you leave with the product that fits your needs and lifestyle.

With four dispensaries located in Beaverton, Seaside, Gresham, Oregon City and a fifth location coming soon to Sun River, our family of young entrepreneurs hopes that one day our company's name reflects reality.

Visit us soon and join the Cannabis Nation!"
Fortune Cookies,https://ddd33q3967xhi.cloudfront.net/sVutQkk0Lal89czpwvpFyn_zmn8=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fuz48QM4yofbZnCos0EtsHhba_Ik%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fPNrwUtOR5qQgMB6lnDdg_fortune.jpg,GSC (f.k.a. Girl Scout Cookies) x OG Kush,"Sativa Dominant Hybrid

Two famous sought-after strains join forces to create a euphoric mood booster that promotes good vibes, happiness and deep  conversation, while offering relief for body-related ailments for many.",Yerba Buena,Clean Green Certified & Certified Kind. OLCC-licensed recreational producer in Oregon. 21+ only.
