1 Product Name,2 Product Image,3 Short Description,4 Product Description,5 Brand Name,6 Brand Description
OG Sour,https://ddd33q3967xhi.cloudfront.net/jfIWU5-HUPDmrtz3wxQnFTwPYDo=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fXPGt_tdIN-WvRr08xMgkG19wk3I%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fiLzjg2KIQmWM0t7VxLrJ_OGSour-bag.png,This perfect sativa/indica balance of Sour Diesel and OG Kush starts with an uplifting happy mind effect that gently eases to body relaxation.,"This perfect sativa/indica balance of Sour Diesel and OG Kush starts with an uplifting happy mind effect that gently eases to body relaxation. Perfect for social activities or just to take the stress of the day. 
Palate and Aroma: sweet lemon and lime; diesel, pine and mint",Artizen Cannabis,"Our flagship facility was custom designed and built in Lacey, Washington in 2014. Early the next year we launched our strain collection, immediately catching the attention of connoisseurs and experienced shop owners and budtenders — folks who know premium cannabis.

Dedication and experience have brought us to the present day, when we can look back, take a deep breathe and give ourselves a small but deserved pat on the back for having come so far.

We take great pride in our work, from cultivation to packaging, ensuring everything is just right and that your Artizen experience lives up to our own high standards."
OG Tangie,https://ddd33q3967xhi.cloudfront.net/bu5cAu8a-S4Y7o2DZ0rL7ZGYWpA=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fHatwJ8GbHUj2quQ-eUqoAjavhNM%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fqGU1A4dHS6j9V4IJWC3Q_17362834_10208563704121274_2120508350602472594_n.jpeg,OG Kush x Tangie,Outdoor OG Kush x Tangie. Super fruity and great high,Hemp Hope Group,"The Hemp Hope Group is a Medical cannabis, Rec cannabis, and Industrial Hemp group of companies, investors, and workers operating nationwide to promote and expand the canna industry globally."
OH SourHead ,https://ddd33q3967xhi.cloudfront.net/w1jRmqfHyULchhEBVTgQDKK_qXQ=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fwYsOUDfmeFqe8188hO3eDl7oSqc%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fcKyP2eDKQuqffYZtUHq8_sourhead.jpg,Sativa Dominant Bud,"The “3 Kings Marijuana Strain”, unites Headband, Sour Diesel, and OG Kush producing a sativa-dominant bud. A sage green flower with arctic coat brings you a potent high that when cured smells and tastes of ripe tangerines.",Outlaw Cannabis Company,"Twenty years of experience in the marijuana industry brings you a team of 20 Outlaw experts. As a result, our facility, growing practices and brand has been featured in leading industry trade publications.

Our staff is skilled in growing practices for indoor / outdoor productions. We provide quality cannabis that can reach potency up to 34% THC. Our investment in both a unique light deprivation process and high quality genetic lines yield a higher quality plant.

When an order is needed, the Outlaws will be there. We are one of the first in our industry to invest in Green Vault’s automated batcher, that packages our product in 700-1000 units per hour."
OK OG,https://ddd33q3967xhi.cloudfront.net/x-5JFx8kaPZIS7akNrbudSudaMI=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fCUINUrVVYayxy2M6SpqaBuDV9ns%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fcdn.filepicker.io%252fapi%252ffile%252fd9XB3uePRnqpk0gkgHoL,This strain originates from the Okanogan Highlands of North Eastern Washington.,This strain originates from the Okanogan Highlands of North Eastern Washington.,Cannasol Farms,"Nature intended for plants to be grown in the sun, and at Cannasol Farms, it is our dedication to growing the finest cannabis for over 20 years that led us to recognize that sun grown plants produce a better product. With dozens of unique strains, we have spent years perfecting the art and science of sustainable cannabis.

Because we believe cannabis only reaches its full potential in a natural environment, we grow our plants under the powerful Okanogan sunshine. Our complex sativa dominant strains take longer to mature, and their colas (the flower of the plant) need natural full spectrum sunlight to develop mature trichomes, which leads to more potent and rich cannabinoid profiles. You can see, smell, and taste the difference.

Because quality takes time, we don’t rush the plant. Many growers get eager to package their product, leaving it too green and raw. In order to achieve a more complex and refined terpene profile, you need time to slow cure as you would a fine tobacco or coffee. Cannasol Farms proudly slow cures our flowers for taste and experience rarely achieved in cannabis today. We select the best colas of the harvest to be hanged dry and slow cured in cool, low oxygen conditions. This allows the chlorophyl to degrade which smooths the smoke and allows the terpenes to be fully expressed, enhancing the cannabinoid profile. Cannasol Farms proudly long cures our flowers for taste and experience rarely achieved in cannabis today.

Cannasol cannabis is pure and natural, free from harsh pesticides and artificial chemicals. Only baking soda, potassium bicarbonate, and vinegar is used to prevent mildew and mold and regulate PH."
Oracle,https://ddd33q3967xhi.cloudfront.net/of1ziK0wHNRFBdqC4brwZO-lSew=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2f7j_2eQJSHvsYZDaZfUQfv3jVHxw%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fWYPqEYEJSHWDGQHBqZXb_north%2bstar_dry%2bflower_bedford%2bgrow-6.jpg,"Oracle is an Indica strain that may help alleviate inflammation, pain, anxiety and stimulate appetite.","Oracle is a gentle, long-lasting, cerebral any-time-of-day Indica flower. Patients may experience an uplifting sense of well-being and physical relaxation.",Bedford Grow,"From seed to patient, Bedford Grow upholds itself to the highest standards in plant care and quality products to provide therapeutic healing for the patients of Illinois."
Orange Afghani,https://ddd33q3967xhi.cloudfront.net/INIpkc3Y2vqXJ4-dVNlFk5XOXho=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2f2maB1LsAO5JrTg1aZdAAAq89_CA%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fLJxKs8aQTE6njUkYIKtl_zorilla%2bmaduro_dry%2bflower_bedford%2bgrow-7.jpg,Orange Afghani is an Afghanistan landrace Indica.,"Orange Afghani is a smooth, long lasting Indica flower. This flower comes from the motherland of all cannabis, Afghanistan. With the hallmarks of an Indica flower, patients may find this flower to provide physical relaxation and euphoria without a heavily sedating feeling.",Bedford Grow,"From seed to patient, Bedford Grow upholds itself to the highest standards in plant care and quality products to provide therapeutic healing for the patients of Illinois."
Orange Fruity Pebbles,https://ddd33q3967xhi.cloudfront.net/5WsefhrVRBHwGtid9mBoGjRuaJo=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fhQV2H6yaImdMZDA8CNRvTnnKnog%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fomqE3Z4bQrcQX7rIGVEQ_Batch%2bI-9.jpg,Orange Fruity Pebbles is an evenly balanced hybrid strain created through crossing the delicious Fruity Pebbles OG with the rare Orange Juice strain.,"The Orange Fruity Pebbles high hits you with a smooth lifted effect that first infuses you with an outgoing sense of sociability and a heavy case of the giggles. As your mind lifts into happiness, your body will start to fall into a sense of happy tingly relaxation that won’t weigh you down. Orange Fruity Pebbles is often chosen to treat patients suffering from conditions such as chronic fatigue, depression, mood swings, and chronic stress or anxiety. Orange Fruity Pebbles buds have lumpy tight forest green nugs that are dotted with bright orange hairs and coated in a layer of tiny clear crystal trichomes.",Zion Gardens,"“Zion” is often defined as a “state of utter perfection and happiness”.  At Zion Gardens, we grow cannabis that will elevate our clients to this feeling of Heaven on Earth.  We are very passionate about cultivating this herb because we know it has healed people for thousands of years.  It positively affects people physically, mentally and emotionally, as well as, simply improve the overall quality of our their lives.  Because of this, Zion Gardens’ owners take their duty to provide the highest quality cannabis very serioulsy – so much so that they personally quality check every strain they sell – sometimes multiple times.  ;P"
Orange Kush,https://ddd33q3967xhi.cloudfront.net/-6HgnHc4HMWAXfTXE-d3S-TfE-w=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fkOvHMrmOFE2q_wCCrz0nGyUZnz4%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fQkIGU1FNTb2BTPRZxrrY_orange%2bkush.jpg,"An indica with a strong, citrusy aroma with a matching taste.","Orange Bud x OG KUSH (I) - Strong, citrusy aroma with a matching taste. This strain is exactly like the name sounds. The smell is sweet and refreshing, just as is the high. It is great for the novice, while still providing that OG Kush body high that an experienced smoker always appreciates.",Royal Tree Gardens,"It all started in the Summer of 2013 with an idea and a dream. 

With the passing of Initiative 502 in the fall of 2013 came the realization that opportunity was at hand. Having had experience growing for the medical side of the industry and a true passion for the plant, Max, Ryan and Spencer came together and founded what is now Royal Tree Gardens.

In March 2014, without the certainty of being licensed by the state, we apprehensively signed a lease on a warehouse in Tacoma, WA, where together, over the next 7 months, we designed and built-out the warehouse from the ground up. Through countless hours of hard work and dedication, we were able to complete the majority of the build-out ourselves while concurrently developing a brand-centric business plan with a focus and commitment to quality. Starting with a blank canvas allowed us to combine our knowledge of the cannabis growing environment and design a truly top tier facility for our plants.

In December 2014, after countless obstacles and setbacks, and applicable permits in hand, we finally received our license from the Washington State Liquor Control Board and were given the go ahead to begin producing cannabis.

More recently, after months of unconditional labor, we have welcomed on Judd as a part of the ownership. Charlie, a Master Grower and brother of Co-Founder Max, has also been added as a part of the ownership team and brings invaluable experience and work ethic.

Presently, the team here at Royal Tree Gardens is working extremely hard to produce the highest quality cannabis for the recreational market here in Washington. We feel privileged to be working with so many close friends and are excited share with you our passion for the plant!"
Original BC Blueberry,https://ddd33q3967xhi.cloudfront.net/KOo1QMMHO-23M4cCh7JIb3ndOT8=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fZ-XjAG3v3GAbiqay9fL8pspTdk8%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252f4q5Kv4h4QtWafBQlAdqO_BC%2bBlueberry.jpg,"Coming Sept.1. This Strain is a Highly Potent, Cup Winning, Indica-Dominant Beauty that Hearkens Back to Days of Olde. A Must Have on Your Shelf!","This original strain has thick fruity blueish buds that look, smell and taste like Blueberries. It causes a long lasting, easy and happy high. It won 2nd Place in the Private Growers Category at the 2011 Treating Yourself Medical Cup and the 1st Place Winner of the 2015 Kush Cup in Vancouver. It's great for concentrates. It's a must-stock for any dispensary.",I-5 Pharms,"I-5 Pharms is a Boutique Indoor Hydroponic Cannabis Grow Lab. We Specialize in Unique, Rare and Potent Strains of Flower."
Pacific Sunrise,https://ddd33q3967xhi.cloudfront.net/kxosJPQBjn6gOU2IpT0OvSkbrA4=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fpGbIDyOq-SbB-lemLesc1yyPkxY%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fYdQiQp7zQcGrq09fa1OH_BEA41773-975A-468A-A64F-02A0E6D99C82.jpeg,California Orange x Australian Sativa,,Astoria Farms,"Astoria Farms is a small-scale producer of high-quality cannabis flowers in the lower Columbia region of Oregon. Our flowers are lovingly grown in Coco-Coir, a renewable byproduct of coconut production, and fertilized with natural organic ingredients to produce cannabis with fine aromas, flavors, and highs.  Our buds are dried slowly over several weeks, hand trimmed, and gently handled to preserve flower quality and consistency.  

Astoria Farms provides beautiful, organically grown, cannabis that retains each strain’s natural attributes and finer qualities.  Much of the cannabis experience lies within the subtle and is synergistic in nature.  Our flowers taste best and provide the most distinctive experience when consumed by vaporizing.  Our strains are chosen over time for their ability to consistently provide positive experiences and effects, be they medical, recreational, or spiritual.

Follow us on Instagram for current grows and product availability. @astoriafarmsoregon"
