1 Product Name,2 Product Image,3 Short Description,4 Product Description,5 Brand Name,6 Brand Description
Jazz Cabbage - True Purple Berry,https://ddd33q3967xhi.cloudfront.net/J_Dzy3EjM_bUkDeHsJOeEesZGlQ=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fYDeDYky5JaTHw7b-RV4FMh0gVCA%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fTwqu8VrStG1XOwJ4aNnF_JC%2bStock%2bTPB.png,,,Silver State Trading,"Silver State Trading is dedicated to providing Nevada with the cleanest and highest quality flower, concentrates and other cannabis products on the market."
Jean Guy,https://ddd33q3967xhi.cloudfront.net/uvd9GBNB955T1Mpo8MhecD99aww=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fTotbdBZJF5w-NvDnvtyEAaRMDF0%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fkWPJJr7qSKCmNaypSjyH_Tilray-SquareT200Bag.jpg,"Jean Guy, a phenotype of White Widow, is an indica-dominant hybrid.","Jean Guy, a phenotype of White Widow, is an indica-dominant hybrid. Top terpenes include trans-nerolidol, humulene and caryophyllene.",Tilray,"Tilray is a global leader in medical cannabis research and production dedicated to providing safe, consistent and reliable therapy to patients. We are the only GMP certified medical cannabis producer currently supplying products to thousands of patients, physicians, pharmacies, hospitals, governments and researchers in Australia, Canada, the European Union and the Americas."
Jedi Kush,https://ddd33q3967xhi.cloudfront.net/ksYYPHdzVdni5JjX9QLjmOiIDVw=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fkf3RiarWKg8O5T_j69UAerrUKmQ%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252f2t7xZuJbQoOHmT4KCym5_jedi.jpg,,"CascadeHigh's Jedi Kush offers a deep Indica experience, emitting strong diesel and skunky aromas upon first whiff. This strain unusually awakens both mind and body, covering the mind with a euphoria that leads into a flash of mental clarity, while eliminating any pain leftover in the body.",Cascade High,Our mission is to consciously and responsibly cultivate quality cannabis for a consistently enjoyable user experience.
Kachook,https://ddd33q3967xhi.cloudfront.net/KZwpwAlY2A-gyFe-jWP3rR5TtzE=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fcLxZtKPDQFPuMqvW1795NuAcur4%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fQOtsdZ8dQyOS0zIsu0ir_kachook_dry%2bflower_bedford%2bgrow-3.jpg,"Kachook is a powerful, uplifting Sativa strain.","Kachook is a Sativa strain. This flower invigorates with strong cerebral and social effects. While this strain is recommended for daytime use, it may also be used for evening to possibly provide relaxation.",Bedford Grow,"From seed to patient, Bedford Grow upholds itself to the highest standards in plant care and quality products to provide therapeutic healing for the patients of Illinois."
Kaplan Kosher,https://ddd33q3967xhi.cloudfront.net/PYyLeXhlC2EY6zvUiRtMEhkM6eI=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fU5IVuHNvDo1AkNlD94kjucY9JQQ%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fhgym49FWRgKvtteNpoWs_kaplan.png,"happy, euphoric, sleepy","Breeder: Norther Cali Source
Indica
Genetics: Kosher Kush X LA Confidential/ OG Kush
Flavor: earthy, pine
High: relaxed, happy, euphoric, sleepy",Clandestine Gardens,"Clandestine Gardens formed with the intent to produce and process the finest cannabis in Washington State. The team optimizes extreme care in handling the product from start to finish. They practice with an old school vibe, and with knowledge of harvesting the finest of crops."
Katsu Kush,https://ddd33q3967xhi.cloudfront.net/l6LcO5_EeBbeWBeu9sNfONTEQdE=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fihk3lWgHVc_NJsRlgFqRLAqZ2W8%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fMEgzpmiSTRGdGGq5yaGq_Katsu%2bKush.jpg,,,Vodis USA,"Our acclaimed master growers know that the finest quality marijuana is nurtured through respect. That’s why our natural products are tenderly crafted, hand harvested - and a tribute to those who enabled this illustrious journey.

We take pride in what we do, so that in turn, you can indulge in a smooth, full-flavored experience."
Killer Grape,https://ddd33q3967xhi.cloudfront.net/UZZPo5TanrzTxX7HrkRBFJcrvY8=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fYEKLZ2FxFKkK_N--7hZpYKc1w2w%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252f7Ephqi5ySGSae3zulRqv_Killer%2bGrape%2b2.jpg,A hybrid strain cross (Killer Queen and Querkle). Killer Grape is a heavy 50/50 hybrid strain that smells like fruity skunk grapes.  Very heavy and smooth.,"A hybrid strain cross (Killer Queen and Querkle). Killer Grape is a heavy 50/50 hybrid strain that deals an astonishing amount of cerebral euphoria and profoundly relaxing effects. This strain gets its name from the sour grape fragrance its buds carry, which is accented by sweet, tropical undertones.

THC:  15.4%
50 % Indica / 50 % Sativa
Genetics: Killer Queen x Querkle
Terpenes (Descending)(>0.5mg/g): 4.32 ϐ-Mycrene, 0.7 trans-Ocimene, 0.54 α-Pinene, and 0.5 ϐ-Caryophyllene",Taste Budz,"We focus on terpene/resin production with high THC content on most of our strains ranging from low strains we cut from our line 11-14%, to our average strains hitting 20-25% and our Grape Soda hitting as high as 30% Total THC.  Our name, Taste Budz, says it all as our product packs a flavorful bowl that tastes just as good and pungent as it smells in the jar."
Killer Purple - Humboldt Family (Delete),https://ddd33q3967xhi.cloudfront.net/QR492urkZiovbEUfS0C9GeTUl-Q=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fUt3kemCN38LjjyvHQN5YZpJUawk%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fHYmS1lHuS1mqaA5NFDzX_Screen%2bShot%2b2017-03-15%2bat%2b5.52.12%2bPM.png,,"An old school PNW favorite that has its roots deep in marijuana culture, the Killer Purple has been grown and favorited by old heads in the cannabis industry for decades. Her short, blocky frame screams “Indica”, Killer purple defines the meaning of the word. She will weigh you down until you are forced to submit, her midnight purple flowers are a force to be reckoned with.",Healing Light Bodega,"Patients deserve to have Medical Marijuana that is clean and natural. As farmers and patients, we respect the plant and grow only the best Medical Cannabis using only the best farming practices. 

All medicinal cannabis products cultivated and produced are thoroughly tested by CB Labs in Novato, CA for Cannabinoid Potency, Terpene Content, Pesticides, Microbiological Contamination (mold, fungus, yeast, E Coli) and Residual Solvents (for extracts). All Medical Cannabis must receive a SLAMM Certification (Safe Legal Access to Medical Marijuana) to be offered on our menu."
King's Kush,https://ddd33q3967xhi.cloudfront.net/IjuipZSdouzrhkNw9awU8j91IW4=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fw_rBHj3U7rRgjGLlL3ZkBnrOlqM%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fvGUQKeleTden5AYy0l8u_King%2527s%2bKush.jpg,,,Mainland Cannabis,Providing a safe and reliable platform for patients from across Canada to purchase their medicine
Kosher Jack,https://ddd33q3967xhi.cloudfront.net/skAzdpt3yk2qsVdBxyEkfyAuC0k=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fig7IT-BeC8ljqYTWHFnQtife31w%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fjtt0aJVYT7yGjhoHIaR6_kosher.jpg,Multiple Award Winning Jack Herer Strain,"Kosher Jack is our multiple award-winning sativa strain. This original Jack Herer cut has been with us since the beginning and is one of our patients' favorite strains.

Named after renowned cannabis activist and author of Emperor Wears No Clothes, Jack Herer, the strain was created to provide patients with the cerebral effects of the best sativa.

Our Kosher Jack Herer tests consistently above 22% total cannabinoids. The most recent test results came back at 24.97%!! The pleasant fruity and spicy aroma companied by the cerebral euphoria make this strain one that is not to be missed!",Pearl Pharma,"Pearl Pharma is a cultivation company that has been growing since 1998. Our most famous strain would be our Kosher Jack, followed closely by our Sin Mint Cookies from seeds by SinCity Seeds. 

Located in multiple dispensaries and delivery services across Southern California, Pearl Pharma has flower, concentrates, and pre-rolls for any mood of your week."
