1 Product Name,2 Product Image,3 Short Description,4 Product Description,5 Brand Name,6 Brand Description
40 Grams Per Day (200 Plants),https://ddd33q3967xhi.cloudfront.net/aYpXy9zQdMVi5ZnsMSWhtlhLiT0=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fIABStaExZ1VB2bs4W9e9Jis4GlE%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252ficMu8ldATFyiwa6Scb8J_16641849_1213385375382791_1945289214908170240_n.png,40 Grams Per Day is equal to the growth of 200 Plants,"We offer you navigation through the entire cultivation process right up until you have the medicine ready for your consumption. Green Rush can go as far as finding you a facility to produce your cannabis, or matching you with a designated grower.

We offer education on different and possibly more effective methods of consumption such as juicing, topical creams and salves, edibles, capsules, tinctures, concentrates etc.",Green Rush Solutions Inc.,We offer navigation through the MMPR and ACMPR process with ease
50 Grams Per Day (250 Plants),https://ddd33q3967xhi.cloudfront.net/pz77gN4J36sDN5budDIEx4pNXyA=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2f8cbmNe-v3VPMqyZFdNDVb2BG1Ns%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fDswZHTsTKilLrL6N0NSA_16641849_1213385375382791_1945289214908170240_n.png,50 Grams Per day is equal to the growth of 250 Plants,"We offer you navigation through the entire cultivation process right up until you have the medicine ready for your consumption. Green Rush can go as far as finding you a facility to produce your cannabis, or matching you with a designated grower.

We offer education on different and possibly more effective methods of consumption such as juicing, topical creams and salves, edibles, capsules, tinctures, concentrates etc.",Green Rush Solutions Inc.,We offer navigation through the MMPR and ACMPR process with ease
5-g Blue,https://ddd33q3967xhi.cloudfront.net/Ld2vLfdmluZdqCYkK0M3uWka3uI=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fiQwg0G8clkrZ-BJay8zlOhalxl4%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252f3LlN99P3RKSjeIlEW4Ce_5-g.jpg,Sativa Dominant Strain,A cross between Diesel Berry and Cinderella 99 creates this sativa dominant strain. This golden high is perfectly balanced with a relaxing indica back-end. A fruity flavor with pineapple undertones.,Outlaw Cannabis Company,"Twenty years of experience in the marijuana industry brings you a team of 20 Outlaw experts. As a result, our facility, growing practices and brand has been featured in leading industry trade publications.

Our staff is skilled in growing practices for indoor / outdoor productions. We provide quality cannabis that can reach potency up to 34% THC. Our investment in both a unique light deprivation process and high quality genetic lines yield a higher quality plant.

When an order is needed, the Outlaws will be there. We are one of the first in our industry to invest in Green Vault’s automated batcher, that packages our product in 700-1000 units per hour."
602 Headband,https://ddd33q3967xhi.cloudfront.net/e4YVruSzGmnCTDDU-xQ--gKsvt8=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2f2rsN8EBo0cIpwIvyvIwvza25Dyg%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252f8UGdJzVYRNKyKzUc8S09_headband.jpg,,,Dicot Farms,"Using all-organic cultivation methods, Dicot Farms is committed to providing the finest organically grown cannabis."
60 Grams Per Day (300 Plants),https://ddd33q3967xhi.cloudfront.net/0SQCKJGsOkdqwgDggkqBR2KEbBc=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fjv8FJxOtd6FueKxb2LuOpg_sY08%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fM4aru4IARLqIWXAzbeZl_16641849_1213385375382791_1945289214908170240_n.png,60 Grams Per Day is equal to the growth of 300 Plants,"We offer you navigation through the entire cultivation process right up until you have the medicine ready for your consumption. Green Rush can go as far as finding you a facility to produce your cannabis, or matching you with a designated grower.

We offer education on different and possibly more effective methods of consumption such as juicing, topical creams and salves, edibles, capsules, tinctures, concentrates etc.",Green Rush Solutions Inc.,We offer navigation through the MMPR and ACMPR process with ease
70 Grams Per Day (350 Plants),https://ddd33q3967xhi.cloudfront.net/iq1IOPgy6g7U1n21z4J08J5R7iE=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fsNMap1sVEQYNv1RQADnOyc3dvzk%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fHeFa80bZSiPAJRme0nQ7_16641849_1213385375382791_1945289214908170240_n.png,70 Grams Per Day equals the growth of 350 Plants,"We offer you navigation through the entire cultivation process right up until you have the medicine ready for your consumption. Green Rush can go as far as finding you a facility to produce your cannabis, or matching you with a designated grower.

We offer education on different and possibly more effective methods of consumption such as juicing, topical creams and salves, edibles, capsules, tinctures, concentrates etc.",Green Rush Solutions Inc.,We offer navigation through the MMPR and ACMPR process with ease
80 Grams Per Day (400 Plants),https://ddd33q3967xhi.cloudfront.net/K32Q9X-8pGt8kLq40wAfV6isMek=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fau3rk26Dggy1NA5DLsXiimXtP3c%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252f9sBEmXaRSmzEA2rZoeag_16641849_1213385375382791_1945289214908170240_n.png,80 Grams Per Day is equal to the growth of 400 Plants,"We offer you navigation through the entire cultivation process right up until you have the medicine ready for your consumption. Green Rush can go as far as finding you a facility to produce your cannabis, or matching you with a designated grower.

We offer education on different and possibly more effective methods of consumption such as juicing, topical creams and salves, edibles, capsules, tinctures, concentrates etc.",Green Rush Solutions Inc.,We offer navigation through the MMPR and ACMPR process with ease
9lb Strawberry ,https://ddd33q3967xhi.cloudfront.net/I6dfIKNScLzcOA_x9Uzaec8QKYY=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fanSUULV3S4PkVcSahV2vd7W_eb4%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252ftc6sOHi8TMuYotJlXmdn_9lb.jpg,"strawberry, smooth, kushy","Breeder: In House
Sativa Hybrid
Genetics: 9lb Hammer X Strawberry Cough
Flavor: sweet, strawberry, smooth, kushy
High: euphoric, happy, uplifted, munchies, relaxing",Clandestine Gardens,"Clandestine Gardens formed with the intent to produce and process the finest cannabis in Washington State. The team optimizes extreme care in handling the product from start to finish. They practice with an old school vibe, and with knowledge of harvesting the finest of crops."
9 Pound Hammer,https://ddd33q3967xhi.cloudfront.net/Hi6JDCi69EWTwex4ku8bfPWjJBc=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fyAZ9iDI9PCY61l-VKhAattyGlo8%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fVOsSxa3jTeGNqtPdDwCJ_angeladawnphoto-2982.jpg,Jack the Ripper x Hells OG x Goo Berry,"9 Pound Hammer - Jack the Ripper x Hells OG x Goo Berry. While this strain is already an Oregon favorite, check out our phenotype: large, dense, bud structure, and sticky, ultra-crystally flower. This particular cut hits on citrus and vanilla notes. The high is usually described as the name would suggest being hit with a nine pound hammer. Not daytime cannabis.",Pintail Gardens,Portland based flower production. Small Batch. Hand Watered. Hand Trimmed. Follow us on Instagram @pintail_gardens
Abusive OG Kush,https://ddd33q3967xhi.cloudfront.net/x33CNR408zFePVO7-NRWn4ZKtSw=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fGihgjdAyOJHixqajiS1_AfWOV04%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252ftD0My6AQSGKy0btLdm8y_Abusive_O.G_logo.jpg,Southern California Cut OG Kush,,SoulTonix,SoulTonix supplies the state of Montana with top-quality medical cannabis and extracts.
Acapulco Gold,https://ddd33q3967xhi.cloudfront.net/Lun1VcoPj_t92uyjIpac8aLRUJU=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fqMepTnSfKBVtsWWiTLJGm4G2qbU%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fMcpnnMpSDWbrY6fiprxR_ACA.jpg,,,Red Frog Cannabis,Tier 3 Producer/Processor
Acapulco Gold,https://ddd33q3967xhi.cloudfront.net/VyMhL181r35_knpnWNT2hwjtP-4=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2f92XKsonuu7w0PDOMbu5KMd7pyQc%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fnQpb8kdOQKePQNPXs6mQ_acupulco.jpg,"A sweet medley of orange, tropical fruit and rich, dark toffee. Immediete tranquility cloaks body upon exhale.","A sweet medley of orange, tropical fruit and rich, dark toffee. Immediete tranquility cloaks body upon exhale.",Dream City,"Greetings from all of us at Dream City!

We are a Tier 3 Producer/Processor located in historic Port Townsend on the Olympic Peninsula. Our company has an established reputation for delivering premium cannabis to our consumers and the highest level of service in the industry. Our commitment to honesty, integrity and customer satisfaction has allowed us to add “consistent quality” to our reputation as well. We use only honest test results and are competitively priced.

Our product is grown in soil. We believe the flavor benefits outweigh the production benefits of soilless grown product. We use 100% climate controlled, state-of-the-art greenhouses that allow us to maximize our ability to produce premium cannabis. Our use of pesticides is focused on Integrated Pest Management (IPM), and minimal amounts of WSLCB-allowed pesticides.

Our signature purple packaging and unique labels allow for our product to visually stand out amongst other brands while our beautiful Galatea dances on the back of the package, a testament to our Port Townsend heritage. We are always emerging with new products and product strains. Our inventory/price list is regularly updated and available to our retailers through a live link. We encourage any of our retail partners to bring their team up to the site for tours of the facility with the goal of educating and inspiring fellow members of the cannabis community."
Acapulco Gold,https://ddd33q3967xhi.cloudfront.net/_yppBX8p92P5E_SygzRrjWE6H5s=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fFve9tBEcw3JGphCXGUgft3zlp0E%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252f30e4BIkbSuCmEG46jYDw_acapolco.jpg,"An old school favorite, this uplifting sativa is a perfect outdoor specimen","An old school favorite, this uplifting sativa is a perfect outdoor specimen",Winberry Farms,"Specializing in Organic Flower and Extracts

One of the first recreational cannabis farms to be licensed by the state of Oregon, Winberry Farms was started by friends and their families. Specializing in naturally sungrown product from quality genetics, our flower is expertly cultivated, perfectly cured, and farm fresh to you. Always grown with organic process and fertilizers. Our farm is located in the Southern Willamette Valley 30 miles southeast of Eugene, nourished naturally by the waters of Winberry Creek."
A Dub,https://ddd33q3967xhi.cloudfront.net/_CNBe-pklHY9qKs0PGmr5nL6gno=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fgx4ltprxnSAMlGL3twh-DMnN1aY%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fAYrH8Vj8QPaQPZsiqA9i_A%2bDub.jpg,A Dub Indoor 2400/Unit No PM/Pests/Seeds Killer Indoor Chunky Buds No Flarf,"Coming from the ever-popular Sour Diesel, OG Kush, and Chemdawg family tree, A-Dub has a solid reputation for its potency. This hybrid produces a well-balanced effect, creating a euphoric, happy buzz that is a great influence when expressing your creativity. Sour Double (a Sour Diesel/Sour Bubble cross) and Alien Dawg (Alien Technology crossed with Chemdawg) combine to birth this magnificent flower",Something Tight,Flowers & Concentrates Indoor Units Capped at 2400 all fire no PM/Seeds
A Dub Organic 2400/Unit,https://ddd33q3967xhi.cloudfront.net/wFpegPyja6I1ysV1-x6txkGXuBY=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fAVGUxauik6DDKIIgzQffMqXbUrQ%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fIIAabMLzSE2V6dlR6LGJ_A%2bDub%2bOrganic.jpg,A Dub Organic 2400/Unit Indoor Organic No PM/Pests/Seeds Awesome! Palm Springs/Coachella Valley,"Coming from the ever-popular Sour Diesel, OG Kush, and Chemdawg family tree, A-Dub has a solid reputation for its potency. This hybrid produces a well-balanced effect, creating a euphoric, happy buzz that is a great influence when expressing your creativity. Sour Double (a Sour Diesel/Sour Bubble cross) and Alien Dawg (Alien Technology crossed with Chemdawg) combine to birth this magnificent flower",Something Tight,Flowers & Concentrates Indoor Units Capped at 2400 all fire no PM/Seeds
Afghani Kush,https://ddd33q3967xhi.cloudfront.net/XDl1DU-I1W802Kra1neduMih2io=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2f5ClUN6SK7tWz8Y4FHTIMosiunZ0%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fBLKFIgZsSP6hi5jUB13B_Screen%2bShot%2b2017-10-05%2bat%2b2.03.08%2bPM.png,"hungry, sleepy, happy","Indica
Genetics: Afghani X unknown
Flavor: woody, earthy
High: relaxed, hungry, sleepy, happy",Clandestine Gardens,"Clandestine Gardens formed with the intent to produce and process the finest cannabis in Washington State. The team optimizes extreme care in handling the product from start to finish. They practice with an old school vibe, and with knowledge of harvesting the finest of crops."
Afghan Kush (Delete) ,https://ddd33q3967xhi.cloudfront.net/lkSaWSu0hhAuMtTUQUJErEAEjCY=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2ffxQW9X08cfbrFJ3QM-a1B1CE7Fk%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fs0IwEAZXT4ilfpBQkB8S_kush.jpg,INDICATHC: 26.75% CBD: 0.41%,"Afghan Kush's roots trace back to the Hindu Kush mountain range near the Afghanistan-Pakistan border. There its genotype has been perfected over centuries, making it the ultimate source for hash such as charas and the sticky black Afghani hash. White Label Seed Company, a Sensi Seeds partner from the Netherlands, made the seeds of this strain available for everyone to grow. The buds of Afghan Kush develop into massive, blunt-topped nuggets full of resin; pure indica goodness with a heavy yield. Revered for its heavy resin content and powerfully sedating effects, Afghan Kush is a top choice for anyone looking to relax after a long day.",Healing Light Bodega,"Patients deserve to have Medical Marijuana that is clean and natural. As farmers and patients, we respect the plant and grow only the best Medical Cannabis using only the best farming practices. 

All medicinal cannabis products cultivated and produced are thoroughly tested by CB Labs in Novato, CA for Cannabinoid Potency, Terpene Content, Pesticides, Microbiological Contamination (mold, fungus, yeast, E Coli) and Residual Solvents (for extracts). All Medical Cannabis must receive a SLAMM Certification (Safe Legal Access to Medical Marijuana) to be offered on our menu."
AK-47,https://ddd33q3967xhi.cloudfront.net/HL270PT5iTf-w8lhFLLV3kr-s4A=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fCWh-WvgufhATO_7FBD8jOqh-jxM%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fCeuIrhiQQqSJIQNa1siP_SSC_LOGO_medRedsquare.jpg,Cerebral Creativity,"Don't let its intense name fool you: AK-47 will leave you relaxed and mellow. This sativa-dominant hybrid delivers a steady and long-lasting cerebral buzz that keeps you mentally alert and engaged in creative or social activities. AK-47 mixes Colombian, Mexican, Thai, and Afghani varieties, bringing together a complex blend of flavors and effects. While AK-47’s scent is sour and earthy, its sweet floral notes can only be fully realized in the taste.",Soulshine Cannabis,"Soulshine Cannabis is an indoor grow based out of Renton, WA. We set out to be a socially conscious cannabis company from the very beginning.  After figuring out our logo, box design, and what our brand meant to us,  it was important to focus on the packaging. It needed to be compostable, recyclable, and non-wasteful, while being unique, efficient, and something we would be proud to see in our retail partners stores."
AK48,https://ddd33q3967xhi.cloudfront.net/qMCd5x0xRbSJ-gvP_1kA3gDb2FA=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2frtXNhazNRPKCEI2EbvdRmSXL9zU%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fxupGkqJmSrKZfirmuBNe_received_1205752832881347.jpeg,Indoor Ak48 is a hybrid that has been a favorite for many that enjoy the indica and sativa effect but without the couch lock.,,NorthSide Greens,"NSG is a Medical Marijuana delivery service.  All products are produced indoors only.  We currently only carry two strains, AK48 and Mystery bud.  We are not yet open (TBD)."
AK-48,https://ddd33q3967xhi.cloudfront.net/d1-osRhbJzG5_eQ8hKy6yIOxe6k=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2favmCBjz2xCbkdaTX-BaZSYIjUd8%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fsgGaBBnROeUfk0SYh0mA_ak.jpg,Colombia x Mexico x Thailand x Afghanistan,"Indica Dominant Hybrid

AK-48 is just a shade heavier than its semi-automatic predecessor, offering an uplifting, cognitive boost while relaxing the body. Don’t expect to be sleepy, but don’t make plans to do any math.",Yerba Buena,Clean Green Certified & Certified Kind. OLCC-licensed recreational producer in Oregon. 21+ only.
