1 Product Name,2 Product Image,3 Short Description,4 Product Description,5 Brand Name,6 Brand Description
Headband ,https://ddd33q3967xhi.cloudfront.net/Kkm-NOIOFh8TyuBYushn_6F2UwY=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2f8DCTzZ9E6ssVJ5sa1_wf57XuwLs%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252ffCPhmhXrTeyEjeSlqoTV_headband.jpg,Headband,Gassy headband,Cooks Canna,San Francisco Bay Area producer of medical cannabis flowers
Himalayan Blackberry,https://ddd33q3967xhi.cloudfront.net/bpojj7Y4N6hL7qHtf01iIhxy_vM=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2f_FeUjt8mB46dtU4FVrXgcMXpPwU%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252f00OLxeTR1iAc2xl6s3f1_SSC_HBB_Cutout.jpg,Meditative,"Himalayan Blackberry by Soulshine Cannabis is a strain that blends earthy flavors with relaxed physical attributes. This indica-dominant cut combines Nepalese with North Indian and offers stoney effects that help relieve pain while imbuing the mind with subtle invigoration. The aroma is rich and floral, speaking to strong Kush overtones that are amplified by the sativa qualities of Nepalese. Enjoy this strain near the end of the day to fully harness its sedative effects.",Soulshine Cannabis,"Soulshine Cannabis is an indoor grow based out of Renton, WA. We set out to be a socially conscious cannabis company from the very beginning.  After figuring out our logo, box design, and what our brand meant to us,  it was important to focus on the packaging. It needed to be compostable, recyclable, and non-wasteful, while being unique, efficient, and something we would be proud to see in our retail partners stores."
Hindu Kush,https://ddd33q3967xhi.cloudfront.net/8AvddPeBR6yzlddG57hCLbUxf18=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fupk2oeQbZ70Yf46maOvTwlx0s7k%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fstx3VA3ASAWIKVrpDN06_hindukush1g_cutout.jpg,Relaxed,"Hindu Kush is a pure indica strain named after the mountain range stretching 500 miles between Pakistan and Afghanistan where it originated. The harsh climate of its homeland has conditioned this strain to express a thick, protective coat of crystal trichomes cherished by hash makers worldwide. With a subtle sweet and earthy sandalwood aroma, Hindu Kush induces a deep sense of calm that helps bring relief to those suffering pain, nausea, and stress disorders.",Soulshine Cannabis,"Soulshine Cannabis is an indoor grow based out of Renton, WA. We set out to be a socially conscious cannabis company from the very beginning.  After figuring out our logo, box design, and what our brand meant to us,  it was important to focus on the packaging. It needed to be compostable, recyclable, and non-wasteful, while being unique, efficient, and something we would be proud to see in our retail partners stores."
Honey Banana,https://ddd33q3967xhi.cloudfront.net/hJcPFDVi1mZuOPJ1YTsOkdGcrRk=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2f6Dzf-iuYBk-dGzch1eLAbVi0Lzk%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fSodZDMfMRKWw59F9xhnw_honey%2benhanced.jpg,A sweet sugary smoke with a hint of fruit.,"This cannabis strain earns its name with a resinous coat as sticky as honey and an unmistakable banana aroma. Boasting intensely sweet aromas on the inhale and a sugary smoke on exhale. She leans heavily toward the sativa side of the family, providing weighty full-body effects coupled with an invigorating buzz of cerebral euphoria.",Shepherd’s Meadow Farm,"We are a small artisanal family farm in the heart of the Emerald Triangle. Utilizing organic farming methods, exclusive strains and zero pesticides we strive to sustainably produce some of the finest cannabis available. We always favor quality over quantity and with laboratory testing results validating these efforts, we feel we are succeeding in bringing connoisseur grade cannabis to market."
Jack Herer,https://ddd33q3967xhi.cloudfront.net/9ix2F5Sluw_L2jVpgVvLyWmtKKQ=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fg13m5niGU6foWgXPHUH-11_BvD4%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252f65GzVRUNTn6NIU3VE5kS_Tilray-SquareT200Bag.jpg,"A sativa-cross of Haze, Northern Lights #5 and Shiva Skunk.","A sativa-cross of Haze, Northern Lights #5 and Shiva Skunk. Top terpenes include pinene, myrcene and trans-nerolidol",Tilray,"Tilray is a global leader in medical cannabis research and production dedicated to providing safe, consistent and reliable therapy to patients. We are the only GMP certified medical cannabis producer currently supplying products to thousands of patients, physicians, pharmacies, hospitals, governments and researchers in Australia, Canada, the European Union and the Americas."
JahGoo,https://ddd33q3967xhi.cloudfront.net/pOnemHOworPrAYotBxc1xoW1grY=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fmEpVChHLKNhPSZaD70Tqi6K3SJk%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fzI51yMaXSsWJQGuw02ZK_JAHGOO.jpg,"JahGoo, grown by Oxendine Family Farms, is a local seed strain to Mendocino County.","This indica has a fresh invigorating scent of lemon zest, with a taste of apples when lit and lavender when finished. It carries a strong calming effect with subtle headiness. Ideal for ending the night and snuggling up by the fireplace.",Flow Kana,"Flow Kana is a different kind of cannabis business. We want to change the way our patients think about cannabis and the world as a whole.

Our values are simple. Respect the land and the medicine that it produces. No contaminants, no fancy packaging, no overpriced storefront. We bring the best of the farm to our patients' doors."
Jazz Cabbage - Old Family Purple,https://ddd33q3967xhi.cloudfront.net/z9BtuQLPl2M4RMmMoKlWki2JMwY=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fRwqgovugsT8tzAWHhDW73AgFIIc%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fJBMar8GqSxS8UM5721xU_Old%2bFamily%2bPurple%2bStock.png,,,Silver State Trading,"Silver State Trading is dedicated to providing Nevada with the cleanest and highest quality flower, concentrates and other cannabis products on the market."
Jurassic OGK,https://ddd33q3967xhi.cloudfront.net/t5iOjT594eLJzKZ4hmiFawwdRIg=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2f1n74aB5_NgZEwxVbcwx-cPjyiiY%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fYZFbpVqsSH6lhbXdPGLe_jurrasic.jpg,"Experience: Euphoric, happy, chill, relaxing, dreamy, body and mind balance, calming","Unleash the dinosaurs and get pre-historic! This unique kush blend provides a calming body and mind experience with a kick of creativity. With its dynamic of different smells, Jurassic towers over other OG Kush's out there. Truly a connoisseur's kush.",Western Cultured,"Our promise is to continuously learn, grow and share our experience with our communities, establishing Western Cultured as a shining symbol of excellence within the Cannabis industry by delivering the finest consciously-crafted cannabis products, operating with responsibility and dispelling antiquated notions surrounding cannabis culture."
Kaviar Moonrocks,https://ddd33q3967xhi.cloudfront.net/Z_DsHVZAqlW1m7Q7r_WZlEPutpc=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fEpxaeToYNUK1feTWkwbKCCnRNNY%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fRMvq0A5QQzW0bzJxhMvY_Kaviar7.jpg,"Premium cannabis infused with hash oil, gently coated with kief, slightly heated, re-oiled and re-rolled in kief.","Dense, potent, and smooth.",Kaviar,"Experience the Trifecta.

Kaviar has developed an amazing line-up of artisan, made from scratch moonrocks and infused cones. 
  
Right from the start, we knew that we wanted to build a brand that both customers and dispensaries could count on for professionalism, consistency, quality, and innovation.  From production to packaging to working with our customers, Kaviar is focused on these principles.  To ensure consistency, Kaviar's lab tests every batch of oil we make and adjusts the recipe based on potency to enable precise dosing—and we have done this from the day we opened our doors. Our facility operates with Good Manufacturing Practices (GMP) to ensure strict quality control and consumer safety.

We encourage you to take a close look and see that all cannabis is not created equal. Our plants and their flowers are sustainably grown, imbued with the highest concentrated oil the industry has to offer. The result? Kaviar moonrocks and cones that redefine the relationship between cannabis and luxury.  
​
Our Mission is simple: produce the world’s finest cannabis. Our dream is equally so: to continuously deliver moments of euphoria through our exquisite products. To ensure our exceptional standards and your highest expectations are met, we are committed to fulfilling this mission ethically and responsibly."
Lemonade haze ,https://ddd33q3967xhi.cloudfront.net/acLlg4XZAxHAuUsT1NNgFEsvY1E=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fTGKyHSNojNu2n5TKEhntY4jeA60%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fzw24w2GITludt256akwg_lemonade.jpg,Lemony gas,Super lemony gas flavor and odor,Cooks Canna,San Francisco Bay Area producer of medical cannabis flowers
