1 Product Name,2 Product Image,3 Short Description,4 Product Description,5 Brand Name,6 Brand Description
3C Blu Krush,https://ddd33q3967xhi.cloudfront.net/kxrId8pGmesztU9kcBujVxwFFeE=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2feHZNwzpy9qrp__Np1WvF_FXCXzY%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fHx6eNbZSTqeTdslhoprp_blu%2bkrush.jpg,"Sativa dominant hybrid, unique stacked calyxes striped with violet and lime green carry the scent of a muskier Blue Dream.","Sativa dominant hybrid, unique stacked calyxes striped with violet and lime green carry the scent of a muskier Blue Dream. New strain from the geneticists at 3C Farms. Its name is inspired by pro surfer, Bethany Hamilton & her story of survival.
flavors: flowery, berry, earthy",3C Farms,"Californias resource for the highest quality medicinal cannabis in the industry. Helping people through cannabis is our passion, and every aspect of our collective works towards providing the best possible Premium cannabis to our patients."
3C Casey Kraken,https://ddd33q3967xhi.cloudfront.net/fZQIxxvM50NHgnYj9WB1_jEYEQM=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fRkoXdz1htyPVEBCwVnk8EjLx53A%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fAGuU9tKJRWyggMGXJvOP_blu%2bkrush.jpg,"Sativa dominant hybird, light purple icey cholas carry a sweet herbal scent and flavor.","Sativa dominant hybird, light purple icey cholas carry a sweet herbal scent and flavor. This strain is excellent for feeling creative as well as experiencing a touch of relaxation. New strain from the geneticists at 3C Farms.",3C Farms,"Californias resource for the highest quality medicinal cannabis in the industry. Helping people through cannabis is our passion, and every aspect of our collective works towards providing the best possible Premium cannabis to our patients."
3C Club 33,https://ddd33q3967xhi.cloudfront.net/LDt-h3OgBfj9-Gjm8jf9WCMc4eo=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fJXb06xBYFLazpOMF7fmwXM4TK6c%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fnZ6P6ftFSvinxdUvtP8v_club%2b33.jpg,"Pure Indica, rich and piney with forest green buds and deep flavor. Very heavy sedative body high.","Pure Indica, rich and piney with forest green buds and deep flavor. Very heavy sedative body high. A phoneme cut of Josh D’s OG Kush
flavors: piney, gas, sour",3C Farms,"Californias resource for the highest quality medicinal cannabis in the industry. Helping people through cannabis is our passion, and every aspect of our collective works towards providing the best possible Premium cannabis to our patients."
3C Enoch OG,https://ddd33q3967xhi.cloudfront.net/YOyO_qCYTKZiaossFKXj9iCeKoE=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fQB_Wftr0mcRjyRoA33CfJz4d65w%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fWg3iWhFnTXSBZXcjGI5j_burmuda.jpg,The nose and pallet are greeted with a deep diesel pine flavor that softly wraps your senses as a pre-cursor to the relaxation you are about to experience.,"For those who love a deep-tissue, all encompassing, sedative experience when medicating, 3C Enoch OG is perfect for you. Another member of the reputable 3C OG Kush line, 3C Enoch OG derives its namesake from the biblical figure, Enoch, who allegedly lived for almost 400 years. This incredibly strong indica is a cut of the original OG Kush—from which all other OG’s derive from. These pure genetics gift this strain with deeply therapeutic pain-relieving qualities. The nose and pallet are greeted with a deep diesel pine flavor that softly wraps your senses as a pre-cursor to the relaxation you are about to experience. This indica is excellent for insomnia, pain relief, as well as any condition that can benefit from 3C Enoch’s anti-inflammatory qualities.",3C Farms,"Californias resource for the highest quality medicinal cannabis in the industry. Helping people through cannabis is our passion, and every aspect of our collective works towards providing the best possible Premium cannabis to our patients."
3C Illuminati ,https://ddd33q3967xhi.cloudfront.net/SPO7ZrP5bwy38ngbovIPVbu7l9I=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fNE1ehedbhU4jjD5lyKeW8uCQsiw%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fMROBkFdqR2Sq7DfU809M_illuminati.jpg,"Revered for its incredibly potency, this phoneme of Josh D’s the original OG Kush delivers with gorgeous bud structure & deep sweet pine flavor.","3C Illuminati OG is a direct cut from Josh D’s 1996 Club 33 OG Phenome and makes up the genetic backbone of West Coast cannabis varieties. In spite of its ubiquity, its origins remain a debatable mystery—much like its namesake. The cholas are a blend of beautiful green tones, ranging from bright lime greens to deeper piney shades, with auburn pistons. It’s scent is fresh and piney, followed by a waft of sweetness. It’s flavor acts much in the same way—The Illuminati’s dense smoke hits the tongue with a blast of pine &amp; a touch of tar, just to be followed by a subtle floral sweetness. The effects of this heavy Indica onset very quickly, starting with a relaxation that begins at the crown and melts throughout the entire body. An instant classic.",3C Farms,"Californias resource for the highest quality medicinal cannabis in the industry. Helping people through cannabis is our passion, and every aspect of our collective works towards providing the best possible Premium cannabis to our patients."
3C Kraken,https://ddd33q3967xhi.cloudfront.net/pkiMF5ZgxNuohLaPXiw9IsYhfAk=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fKBonP7HWWqd9GsfoEdmUYzNsEVQ%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252frTX8KxNBSheUAkaOtVoj_kracken.jpg,"Indica dominant hybrid, CBD heavy with profound anti-inflammatory benefits. Very dark purple buds covered in white kief. The scent is that of sweet musk.","Indica dominant hybrid, CBD heavy with profound anti-inflammatory benefits. Very dark purple buds covered in white kief. The scent is that of sweet musk. Its namesake derives from the legendary sea monster, said to dwell of the coast of Norway.",3C Farms,"Californias resource for the highest quality medicinal cannabis in the industry. Helping people through cannabis is our passion, and every aspect of our collective works towards providing the best possible Premium cannabis to our patients."
3C Kushishima,https://ddd33q3967xhi.cloudfront.net/d5jvEhBfjZ5J3UV2oktVkxl8Yck=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fQiGVk0HDklrS6_hdqcUjePciOW0%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252foZAyEWZRNC61fXkU1Pto_kusishima.jpg,"This kosher cut progressed in potency and infamy, becoming one of the most sought-after indica stains in California.","3C Kushushima OG is another phenomenally strong strain from the 3C OG Kush line. Named after the infamous nuclear site, 3C Kushushima is atomically potent! Although its genetics remain somewhat mysterious, it is said that this strain began as a cut of the original OG Kush, and at some point along its journey it was blessed by a Rabbi. This kosher cut progressed in potency and infamy, becoming one of the most sought-after indica stains in California. This strain’s flavor and scent are sweeter than most OG’s giving it a delicious sugar pine smoke. Upon first inhale, the effect starts with a deep relaxing feel behind the eyes—progressing into a peaceful state that permeates the whole body. 3C Kushushima OG is excellent for pain relief, relaxation, and relieving anxiety.",3C Farms,"Californias resource for the highest quality medicinal cannabis in the industry. Helping people through cannabis is our passion, and every aspect of our collective works towards providing the best possible Premium cannabis to our patients."
3C Mango OG,https://ddd33q3967xhi.cloudfront.net/5fqjo5WMKTsy7NQSmwCHUuiTKZU=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fP1PgEhipmd2cX9xr_HCckiqLEko%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fyfEXuxtzQcyoFXa5P4hG_mango.jpg,"This strain is perfect for anxiety, and overall mental and physical relaxation.","Mangos and marijuana have always seemed to go hand-in-hand; especially in the 3C Mango OG. This indica dominant hybrid is as colorful and flavorful as it is potent. The flowers have a distinctive fruit-like quality, with a bright sweet mango smell and round juicy buds with light orange hairs. The sativa aspect of this strain gift the smoker with an instant mood lift and a warm head high—shortly followed by a sense of relaxation that soothes the body. Not as sedative as other indicas, the 3C Mango is excellent for those who medicate for pain relief during the day. This strain is perfect for anxiety, and overall mental and physical relaxation.",3C Farms,"Californias resource for the highest quality medicinal cannabis in the industry. Helping people through cannabis is our passion, and every aspect of our collective works towards providing the best possible Premium cannabis to our patients."
3C Mossad,https://ddd33q3967xhi.cloudfront.net/Q-Fr2dUeOg0FHQhlHm1ckivWxmk=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fqEkaZrGj77gPibR2RIe8La4-HQg%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fOm2zp3y0RWW5AvMZn2O6_blu%2bkrush.jpg,This unique genetic blend perfectly balances body high and head change for a wide variety of applications.,"It is not often for a true cannabis connoisseur to come across a truly unique strain. The 3C

Mossad shatters all expectations for what an indica can be. A master indica blend of 3C

Kushishima and 3C Majestic 12 creates a tranquil headspace and body high, leaving room for

productivity. The scent of the 3C Mossad is one of its most alluring qualities. Despite this strain

being very indica dominant, its smell is minty and fresh—much like a Jack Herrer. The taste is

identical, cleansing the pallet and energizing the experience. The 3C Mossad is a very versatile

strain, in that its hybridized indica-leaning qualities can be adapted to a wide variety of

applications. It’s namesake derives from the Israeli Secret Service, carrying on the 3C

Conspiracy line as well as being a testament to the mysteriousness of this distinctive hybrid.",3C Farms,"Californias resource for the highest quality medicinal cannabis in the industry. Helping people through cannabis is our passion, and every aspect of our collective works towards providing the best possible Premium cannabis to our patients."
3C Northern Lights,https://ddd33q3967xhi.cloudfront.net/pVrMaawuamINA0GP3DX-ho_Mzcs=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2f8ao6bvbxC6exWDVCapyMn8FM5Vs%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fngsxGgsiS3OSrvAshNdu_northern%2blights.jpg,"The flavor profile is floral, clear and refreshing, very different than most indicas. This strain is excellent for the relief of anxiety & muscle tension","There are few strains with such a rich and complex history that traces over 20 years. Northern Lights has been sought after for years for its distinctive look, flavor and of course its powerful effects. Its genetics are the subject of some speculation, however its is generally accepted that this strain is a product of Afghani and variation of Thai. 3C Farms has taken the cultivation of Northern Lights to a whole new level, improving the overall structure and quality of the strain through extreme care. 3C Northern Lights greets the eyes with beautiful blue and violet calyxes, heavily coated in sugary white kief. The flavor profile is floral, clear and refreshing, very different than most indicas. This strain is excellent for the relief of anxiety, muscle tension as well as insomnia. This is a great indica for those who desire a overall relaxing and therapeutic experience, without being completely couch-locked.",3C Farms,"Californias resource for the highest quality medicinal cannabis in the industry. Helping people through cannabis is our passion, and every aspect of our collective works towards providing the best possible Premium cannabis to our patients."
