,product_brand,product_image_links,product_name
13,Headlight,https://ddd33q3967xhi.cloudfront.net/57jdp7LXE6mS03v26ARK2Gjf9ig=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fQt5V2P407LoMgpKu07PaG2HYIHE%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252f71mId8GhT8aabBUuGRv5_headlight.jpg,Headlight Flower
14,Marley Natural,https://ddd33q3967xhi.cloudfront.net/oka1MBytGjZt5vuISNbEQBsUW7Y=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2ff1stZpJMF1sGXKALKU6wYHOUzZQ%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fcdn.filepicker.io%252fapi%252ffile%252fbeqTwqPlR1qhDiMm6frs,Marley Red™: CBD-Rich
15,Glory Daze Botanicals,https://ddd33q3967xhi.cloudfront.net/KH_2x6YO_cs-jsFxIJG--WRcAYg=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fvapBcs5RrIp34p4f2l9dgXo843c%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252f4hP5YFEiRvGc9RTtQDHP_IMG_20171007_125641_282.jpg,Messiah OG 
16,Subdued Excitement (SUBX),https://ddd33q3967xhi.cloudfront.net/1xLLB_ql0PSHliwvjVXcET1A6dk=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2f_ecRJKWJbgZydfwXR83fIEwIcgg%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fDoYMAdTQKOzTTkkxW7BE_orange.jpg,Orange Cookies
17,Avitas,https://ddd33q3967xhi.cloudfront.net/PkKObnbtloLyftkrD20kANjhNSw=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2f62pA9EVUfdYXWdrPBHTvizVMex4%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fBfrtMsUURvCAmpHXu1lB_story_3.png,Premium Flower
18,Pioneer Nuggets,https://ddd33q3967xhi.cloudfront.net/6dHDGE9HmhgnJGfjpOZ9BhR-BRM=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fN1kEbatxJ7nCfGocPGK8G7NsZtM%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fhsb2pXfTvWEJUX3hvhGh_trainwreck.jpg,Purple Trainwreck
19,Northern Emeralds,https://ddd33q3967xhi.cloudfront.net/_byLzPR9zEcLWbw3PN5_7F6EEOI=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fQ2hKrItJT8JxrVeIC9cgjSTTgG4%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fdnfRGVFtTGSXr75qyIaF_flowertin-text_sapphire.jpg,SAPPHIRE KUSH
20,Sunday Goods,https://ddd33q3967xhi.cloudfront.net/R7BHYWaUFyeXhA9Ohk34XzBubtk=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2f7Qs2gwa0s4Vv_rV_GaMZD7w0Cyg%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fJ3kSlwSkQGWkzDH0lK8H_Road%2bDawg_0590.jpg,Sunday Goods | Road Dawg
21,Wise Crops,https://ddd33q3967xhi.cloudfront.net/Zok0ALlOFxDv_fU3AuM7LrIKz2k=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fhsu52A-1cLkVVk2xr2SuHMH7S4A%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fWl0CL8zVQgWHhz4dtozg_IMG_1088.JPG,Wise Thunder
22,3C Farms,https://ddd33q3967xhi.cloudfront.net/GvulogTEjzlDtU3uFnDYSsgh3dg=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fd16BdMvaXNQVZrrsrANQIdvQ-9Q%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252f8tuDsNDnTq25eMKkUCln_majestic%2b12.jpg,3C Majestic 12 
23,Pioneer Nuggets,https://ddd33q3967xhi.cloudfront.net/urRdKGYtlHz1OS2XcTow-Yc8iQo=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2favlkHaoxsyeuTkydGxwCEqdmbgw%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fr1129VmYSl6lQ0EBTJ6g_bbst_flower.jpg,Blueberry Silvertip
24,Cannasol Farms,https://ddd33q3967xhi.cloudfront.net/7JQSr_S2iYBb7h8ZvN597QA0ulE=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2f4R8-qUgT9evM5j4ByUXZUaiimkQ%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fcdn.filepicker.io%252fapi%252ffile%252fZ7RyEMkOQgtFm5ucnQrp,Cannatonic
25,Phantom Farms,https://ddd33q3967xhi.cloudfront.net/mmraAppXziior4lZnU0Qh7Jz13s=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fnSPiWatkPjNpx-uAEf8xKDthsMo%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252f6oN7NkXvRTyUZuyTxm3X_Cascade%2bLemonade.jpg,Cascade Lemonade
26,Vodis USA,https://ddd33q3967xhi.cloudfront.net/ehGbpzQp0OgHpDOOC2Lgs_mnOkU=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2f4IG-AMIDM0Kgc_zGde_ZTXqUfrc%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fyYXJ9NRKTbKCJiSOhaTe_chemdawg.jpg,Chemdawg
27,Cannasol Farms,https://ddd33q3967xhi.cloudfront.net/ITET-VDz1NFZcf8POWCeromc7Dk=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fxMrV5RQTX_cEV5ExCN_TsuNoKVQ%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fcdn.filepicker.io%252fapi%252ffile%252fNIFe2G0MTHa3IdfSnJLw,Cotton Candy
28,Falcanna,https://ddd33q3967xhi.cloudfront.net/uugp6gLxfx2zhRSZQ589V_q_V3U=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fDUm6tLjDmDqaFVJAgbqvRl4vUyc%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fJBYktlS7RX62zLFFiwDG_p1au0pbfdi2qloh51rid105bk476.jpg,Dutch Haze
29,Canna Organix,https://ddd33q3967xhi.cloudfront.net/_I7gwbJabBFKqLVzCrw47TaKL94=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fFZXFrUk0hqWx14N9oXJsEEe1oRY%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fEe9ICal1Txql47LIuaU6_gelato.jpg,Gelato
30,Cooks Canna,https://ddd33q3967xhi.cloudfront.net/I4c7edxYHkmTyFh6wiHEV-rCM3w=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fl8Jog1GWTpk16Dpu1MJysvN05kk%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fbEOfHTa9QB6GPc3fjbJ0_GG.jpg,GG (f.k.a. Gorilla Glue) 
31,Liberty Reach,https://ddd33q3967xhi.cloudfront.net/0Q89AZpFm1gCA9h-0Um3FY1Zuxo=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2flah5zmQPlsD3WaxTjnSCpuj_G1c%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252f8po3BB72Q4qdefenukaj_Screen%2bShot%2b2017-06-26%2bat%2b2.53.27%2bAM.png,Liberty Reach Liberty OG Flower
32,Marley Natural,https://ddd33q3967xhi.cloudfront.net/yaY5ng5GEPn_GP1UV-P67xyM2Mo=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fIN987nVdxqcghO4AqODNT2md_cA%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fcdn.filepicker.io%252fapi%252ffile%252facZwnCSRT7aReQOjJtdC,Marley Green™: Hybrid
33,Royal Tree Gardens,https://ddd33q3967xhi.cloudfront.net/YkuM6RQtpIxUaUG_oKwtnhQ8eZM=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fGKUma2dkM1IYotMJmK2XznUqrYw%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fK8Oials1QfuPubvw76Lh_middlefork.jpg,Middlefork
34,Northern Emeralds,https://ddd33q3967xhi.cloudfront.net/wSLkFRmCxONGFxBesEA2u0OMN0g=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fhQ6qhoD-v0jEbwr2y1AXW4NN4Wk%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252ff3IbRgZLSUKGrPkYsecq_flowertin-text_moonstone.jpg,MOONSTONE KUSH
35,True Humboldt,https://ddd33q3967xhi.cloudfront.net/flEalY5LHxcTiKNv4n6ptDU5xrQ=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fXQBWofCr70ZFgWW90V5lWd_nWEU%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fimhfd4NlTJC7R0YTzovU_AA-%2bmr%2bnice.jpg,Mr. Nice (5103)
36,Pioneer Nuggets,https://ddd33q3967xhi.cloudfront.net/JZ4wjwaPt82bZxgK4tiBTs70BaA=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fQ164El8zy0OYs7JtqToitV2nDJw%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fJqteYbfJS8GB0JLu0sse_sour%2bdeisel.jpg,Sour Diesel
37,Royal Choice Farms,https://ddd33q3967xhi.cloudfront.net/n830-gtCA-XUmbqfVQx57mjo_Ks=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fRyEZbJZuioT-XaGMa-bZMY7LNkc%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252f45Tu1addQvmuYf6mveps_sour%2btangerine.jpg,Sour Tangerine
38,Tilray,https://ddd33q3967xhi.cloudfront.net/rkFbLASOH1NoYprf7Jd19k2exXo=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2f8i1-JolP_9NSU3J-D093B0whpkU%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252f68i5zANLSdC9jCWFPOAg_Tilray-SquareT200Bag.jpg,White Widow
39,Dicot Farms,https://ddd33q3967xhi.cloudfront.net/zFtFoMDaNaGPlCzRAu0X7TlnbwE=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fA6KaMpCAPWnqCFuIEYKLrQAm6V0%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fTjlVPevdQBSJkvdtggFf_wifi.jpg,Wifi OG
40,3C Farms,https://ddd33q3967xhi.cloudfront.net/gD3TZBPkAZkUzQo_SrWk2d5du18=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fwFj3KqKOTMxRfxezSmngepCuYxg%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252f9gGtIP1QTfS4avCmEMEX_ACDC%2bCUP%2bWINNER%2bcopy.jpg,3C AC/DC
